seln_num,PeakFreq,PeakLev,RMS,Filename,begin_file_date,Calibration,FreqMin,FreqMax,verified,used,ins_sm,out_sm,ins_med,out_med,ins_lg,out_lg,pins_sm,pins_med,pins_lg,pins_ovrll,View,Channel,Begin_Time,End_Time,Low_Freq,High_Freq,Begin_Date,Begin_Clock,End_Clock,Delta_Time_s,Behavior,Partial,Notes,Dep,Site_ID,DeltaHours,Hr_time,Hr_local,Begin_Hour_loc,Begin_Date_loc,Weekday
1,47,109.787925,118.6211941,5459.241203035408_sel01_S1.wav,2024-12-03,-176.6,20,6000,1,1,11,0,118,0,295,0,1,1,1,1,Spectrogram 1,1,24632.615577889,28940.133165829,14.9,6623.5,2024-12-03,10:44:40,11:56:27,4307.5176,Transit,NA,NA,202411,BRE,1.1965326666666667,2024-12-03T10:44:40Z,2024-12-03T10:44:40Z,18,2024-12-03,Tuesday
2,48,103.9261037,119.8232795,5459.241203035408_sel02_S2.wav,2024-12-03,-176.6,20,6000,1,1,22,0,236,0,594,0,1,1,1,1,Spectrogram 1,1,45501.967336683,49833.025125628,13.2,16286.9,2024-12-03,16:32:30,17:44:41,4331.0578,Transit,NA,NA,202411,BRE,1.203071611111111,2024-12-03T16:32:30Z,2024-12-03T16:32:30Z,0,2024-12-04,Wednesday
1,58,120.8005689,125.6482784,5459.241214035316_sel01_S1.wav,2024-12-14,-176.6,20,6000,1,1,3,0,31,0,80,0,1,1,1,1,Spectrogram 1,1,22458.610552764,25417.688442211,8.1,24000,2024-12-14,10:07:34,10:56:53,2959.0779000000002,Transit,NA,NA,202411,BRE,0.8219660833333334,2024-12-14T10:07:34Z,2024-12-14T10:07:34Z,18,2024-12-14,Saturday
1,108,100.3679335,115.0932674,5459.241228042541_sel01_S1.wav,2024-12-28,-176.6,20,6000,1,1,35,0,360,0,516,391,1,1,0.5689084895259096,1,Spectrogram 1,1,58929.301507538,64702.190954774,28.7,22764.2,2024-12-28,20:47:49,22:24:02,5772.8894,Maneuver,NA,NA,202411,BRE,1.6035803888888889,2024-12-28T20:47:49Z,2024-12-28T20:47:49Z,4,2024-12-29,Sunday
1,189,100.9007,111.2156992,5459.250103042513_sel01_S1.wav,2025-01-03,-176.6,20,6000,1,1,33,0,338,0,540,311,1,1,0.6345475910693302,1,Spectrogram 1,1,60608.924623116,65071.680904523,18.6,15043.9,2025-01-03,21:15:25,22:29:48,4462.7563,Maneuver,NA,NA,202411,BRE,1.2396545277777777,2025-01-03T21:15:25Z,2025-01-03T21:15:25Z,5,2025-01-04,Saturday
2,3457,72.97314664,97.88652172,5459.250103042513_sel02_S2.wav,2025-01-03,-176.6,20,6000,1,1,864,43,0,1237,0,0,0.9525909592061742,0,NA,0.40298507462686567,Spectrogram 1,1,76183.826633166,79742.874371859,24.9,8028,2025-01-04,01:35:00,02:34:19,3559.0477,Maneuver,NA,NA,202411,BRE,0.9886243611111112,2025-01-04T01:35:00Z,2025-01-04T01:35:00Z,9,2025-01-04,Saturday
1,79,83.12763969,101.966845,5459.250104042510_sel01_S1.wav,2025-01-04,-176.6,20,6000,1,1,271,0,627,1280,0,0,1,0.3287886733088621,NA,0.4123048668503214,Spectrogram 1,1,23878.748743719,33016.771356784,19.6,10691.6,2025-01-04,11:03:08,13:35:26,9138.0226,Maneuver,NA,NA,202411,BRE,2.538339611111111,2025-01-04T11:03:08Z,2025-01-04T11:03:08Z,19,2025-01-04,Saturday
1,135,72.83024272,98.80916689,5459.250108042453_sel01_S1.wav,2025-01-08,-176.6,20,6000,1,1,863,60,0,1220,0,0,0.9349945828819068,0,NA,0.40270648623425104,Spectrogram 1,1,60430.138190955,64940.947236181,67.9,7817.5,2025-01-08,21:12:03,22:27:14,4510.809,Maneuver,NA,NA,202411,BRE,1.2530025,2025-01-08T21:12:03Z,2025-01-08T21:12:03Z,5,2025-01-09,Thursday
2,240,94.48077726,115.3723955,5459.250108042453_sel02_S2.wav,2025-01-08,-176.6,20,6000,1,1,70,0,725,0,114,1280,1,1,0.08177905308464849,1,Spectrogram 1,1,68127.91959799,69130.447236181,15.6,22909.7,2025-01-08,23:20:21,23:37:03,1002.5276,Maneuver,NA,CPA,202411,BRE,0.2784798888888889,2025-01-08T23:20:21Z,2025-01-08T23:20:21Z,7,2025-01-09,Thursday
3,50,95.15839714,99.91473698,5459.250108042453_sel03_S3.wav,2025-01-08,-176.6,20,6000,1,1,65,0,668,0,176,1280,1,1,0.12087912087912088,1,Spectrogram 1,1,70753.72361809,71710.120603015,17,9256.2,2025-01-09,00:04:06,00:20:03,956.397,Maneuver,NA,NA,202411,BRE,0.2656658333333333,2025-01-09T00:04:06Z,2025-01-09T00:04:06Z,8,2025-01-09,Thursday
