"","Begin_Date","Begin_Hour","Transit"
"1",2023-06-27,0,0
"2",2023-06-27,1,0
"3",2023-06-27,2,0
"4",2023-06-27,3,0
"5",2023-06-27,4,0
"6",2023-06-27,5,0
"7",2023-06-27,6,0
"8",2023-06-27,7,0
"9",2023-06-27,8,0
"10",2023-06-27,9,0
"11",2023-06-27,10,0
"12",2023-06-27,11,0
"13",2023-06-27,12,0
"14",2023-06-27,13,0
"15",2023-06-27,14,0
"16",2023-06-27,15,0
"17",2023-06-27,16,0
"18",2023-06-27,17,0
"19",2023-06-27,18,0
"20",2023-06-27,19,0
"21",2023-06-27,20,0
"22",2023-06-27,21,0
"23",2023-06-27,22,0
"24",2023-06-27,23,0
"25",2023-06-28,0,0
"26",2023-06-28,1,0
"27",2023-06-28,2,0
"28",2023-06-28,3,0
"29",2023-06-28,4,0
"30",2023-06-28,5,0
"31",2023-06-28,6,0
"32",2023-06-28,7,0
"33",2023-06-28,8,0
"34",2023-06-28,9,0
"35",2023-06-28,10,0
"36",2023-06-28,11,0
"37",2023-06-28,12,0
"38",2023-06-28,13,0
"39",2023-06-28,14,0
"40",2023-06-28,15,0
"41",2023-06-28,16,0
"42",2023-06-28,17,0
"43",2023-06-28,18,0
"44",2023-06-28,19,0
"45",2023-06-28,20,0
"46",2023-06-28,21,0
"47",2023-06-28,22,0
"48",2023-06-28,23,0
"49",2023-06-29,0,0
"50",2023-06-29,1,0
"51",2023-06-29,2,0
"52",2023-06-29,3,0
"53",2023-06-29,4,0
"54",2023-06-29,5,0
"55",2023-06-29,6,0
"56",2023-06-29,7,0
"57",2023-06-29,8,0
"58",2023-06-29,9,0
"59",2023-06-29,10,0
"60",2023-06-29,11,0
"61",2023-06-29,12,0
"62",2023-06-29,13,0
"63",2023-06-29,14,0
"64",2023-06-29,15,0
"65",2023-06-29,16,0
"66",2023-06-29,17,0
"67",2023-06-29,18,0
"68",2023-06-29,19,0
"69",2023-06-29,20,0
"70",2023-06-29,21,0
"71",2023-06-29,22,0
"72",2023-06-29,23,0
"73",2023-06-30,0,0
"74",2023-06-30,1,0
"75",2023-06-30,2,0
"76",2023-06-30,3,0
"77",2023-06-30,4,0
"78",2023-06-30,5,0
"79",2023-06-30,6,0
"80",2023-06-30,7,0
"81",2023-06-30,8,0
"82",2023-06-30,9,0
"83",2023-06-30,10,0
"84",2023-06-30,11,0
"85",2023-06-30,12,0
"86",2023-06-30,13,0
"87",2023-06-30,14,0
"88",2023-06-30,15,0
"89",2023-06-30,16,0
"90",2023-06-30,17,0
"91",2023-06-30,18,0
"92",2023-06-30,19,0
"93",2023-06-30,20,0
"94",2023-06-30,21,0
"95",2023-06-30,22,0
"96",2023-06-30,23,0
"97",2023-07-01,0,0
"98",2023-07-01,1,0
"99",2023-07-01,2,0
"100",2023-07-01,3,0
"101",2023-07-01,4,0
"102",2023-07-01,5,0
"103",2023-07-01,6,0
"104",2023-07-01,7,0
"105",2023-07-01,8,0
"106",2023-07-01,9,0
"107",2023-07-01,10,0
"108",2023-07-01,11,0
"109",2023-07-01,12,0
"110",2023-07-01,13,0
"111",2023-07-01,14,0
"112",2023-07-01,15,0
"113",2023-07-01,16,0
"114",2023-07-01,17,0
"115",2023-07-01,18,0
"116",2023-07-01,19,0
"117",2023-07-01,20,0
"118",2023-07-01,21,0
"119",2023-07-01,22,0
"120",2023-07-01,23,0
"121",2023-07-02,0,0
"122",2023-07-02,1,0
"123",2023-07-02,2,0
"124",2023-07-02,3,0
"125",2023-07-02,4,0
"126",2023-07-02,5,0
"127",2023-07-02,6,0
"128",2023-07-02,7,0
"129",2023-07-02,8,0
"130",2023-07-02,9,0
"131",2023-07-02,10,0
"132",2023-07-02,11,0
"133",2023-07-02,12,0
"134",2023-07-02,13,0
"135",2023-07-02,14,0
"136",2023-07-02,15,0
"137",2023-07-02,16,0
"138",2023-07-02,17,0
"139",2023-07-02,18,0
"140",2023-07-02,19,0
"141",2023-07-02,20,0
"142",2023-07-02,21,0
"143",2023-07-02,22,0
"144",2023-07-02,23,0
"145",2023-07-03,0,0
"146",2023-07-03,1,0
"147",2023-07-03,2,0
"148",2023-07-03,3,0
"149",2023-07-03,4,0
"150",2023-07-03,5,0
"151",2023-07-03,6,0
"152",2023-07-03,7,0
"153",2023-07-03,8,0
"154",2023-07-03,9,0
"155",2023-07-03,10,0
"156",2023-07-03,11,0
"157",2023-07-03,12,0
"158",2023-07-03,13,0
"159",2023-07-03,14,0
"160",2023-07-03,15,0
"161",2023-07-03,16,0
"162",2023-07-03,17,0
"163",2023-07-03,18,0
"164",2023-07-03,19,0
"165",2023-07-03,20,0
"166",2023-07-03,21,0
"167",2023-07-03,22,0
"168",2023-07-03,23,0
"169",2023-07-04,0,0
"170",2023-07-04,1,0
"171",2023-07-04,2,0
"172",2023-07-04,3,0
"173",2023-07-04,4,0
"174",2023-07-04,5,0
"175",2023-07-04,6,0
"176",2023-07-04,7,0
"177",2023-07-04,8,0
"178",2023-07-04,9,0
"179",2023-07-04,10,0
"180",2023-07-04,11,0
"181",2023-07-04,12,0
"182",2023-07-04,13,0
"183",2023-07-04,14,0
"184",2023-07-04,15,0
"185",2023-07-04,16,0
"186",2023-07-04,17,0
"187",2023-07-04,18,0
"188",2023-07-04,19,0
"189",2023-07-04,20,0
"190",2023-07-04,21,0
"191",2023-07-04,22,0
"192",2023-07-04,23,0
"193",2023-07-05,0,0
"194",2023-07-05,1,0
"195",2023-07-05,2,0
"196",2023-07-05,3,0
"197",2023-07-05,4,0
"198",2023-07-05,5,0
"199",2023-07-05,6,0
"200",2023-07-05,7,0
"201",2023-07-05,8,0
"202",2023-07-05,9,0
"203",2023-07-05,10,0
"204",2023-07-05,11,0
"205",2023-07-05,12,0
"206",2023-07-05,13,0
"207",2023-07-05,14,0
"208",2023-07-05,15,0
"209",2023-07-05,16,0
"210",2023-07-05,17,0
"211",2023-07-05,18,0
"212",2023-07-05,19,0
"213",2023-07-05,20,0
"214",2023-07-05,21,0
"215",2023-07-05,22,0
"216",2023-07-05,23,0
"217",2023-07-06,0,0
