"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Behavior" "Partial" "Notes" "Begin_file_date"
1 "Spectrogram 1" 1 79372.304524213 82737.242369186 22.143 20194.615 "2023/6/28" "0:55:49.3045" "1:51:54.2424" 3364.9378 "Transit" NA NA "2023/6/28"
1 "Spectrogram 1" 1 15481.880594714 20498.238785572 33.422 3724.6 "2023/6/30" "6:51:35.8806" "8:15:12.2388" 5016.3582 "Transit" NA NA "2023/6/30"
1 "Spectrogram 1" 1 54955.296819404 64231.054739643 16.521 24000 "2023/7/1" "17:49:17.2968" "20:23:52.0547" 9275.7579 "Transit" NA NA "2023/7/1"
1 "Spectrogram 1" 1 30206.481262863 33291.653669318 25.416 24000 "2023/7/2" "10:56:41.4813" "11:48:06.6537" 3085.1724 "Transit" NA NA "2023/7/2"
2 "Spectrogram 1" 1 55825.497726504 62998.904961067 22.873 3986.462 "2023/7/2" "18:03:39.4977" "20:03:12.9050" 7173.4072 "Transit" NA NA "2023/7/2"
1 "Spectrogram 1" 1 56118.780535952 62268.739810933 15.074 24000 "2023/7/3" "18:08:23.7805" "19:50:53.7398" 6149.9593 "Transit" NA NA "2023/7/3"
1 "Spectrogram 1" 1 7147.330315894 10625.545243366 25.834 3985.779 "2023/7/6" "4:31:47.3303" "5:29:45.5452" 3478.2149 "Transit" NA NA "2023/7/6"
2 "Spectrogram 1" 1 18131.298632777 25614.615364984 20.877 20960.334 "2023/7/6" "7:34:51.2986" "9:39:34.6154" 7483.3167 "Transit" NA NA "2023/7/6"
1 "Spectrogram 1" 1 4202.305424621 10993.280528139 25.253 3542.676 "2023/7/7" "3:42:34.3054" "5:35:45.2805" 6790.9751 "Transit" NA NA "2023/7/7"
1 "Spectrogram 1" 1 30004.723977187 37631.85745983 10.438 22615.607 "2023/7/8" "10:52:27.7240" "12:59:34.8575" 7627.1335 "Transit" NA NA "2023/7/8"
2 "Spectrogram 1" 1 38334.348399698 45164.004505326 20.877 8089.656 "2023/7/8" "13:11:17.3484" "15:05:05.0045" 6829.6561 "Transit" NA NA "2023/7/8"
3 "Spectrogram 1" 1 73429.033933175 77287.459267169 15.658 10730.689 "2023/7/8" "22:56:08.0339" "0:00:27.4593" 3858.4253 "Transit" NA NA "2023/7/8"
1 "Spectrogram 1" 1 6224.273751921 12450.92985234 31.37 4509.395 "2023/7/9" "4:15:58.2738" "5:59:44.9299" 6226.6561 "Transit" NA NA "2023/7/9"
1 "Spectrogram 1" 1 36790.809937759 44381.088221048 36.905 8100.209 "2023/7/10" "12:45:13.8099" "14:51:43.0882" 7590.2783 "Transit" NA NA "2023/7/10"
2 "Spectrogram 1" 1 47137.665152738 55226.160619202 26.937 14019.048 "2023/7/10" "15:37:39.6652" "17:52:28.1606" 8088.4955 "Transit" NA NA "2023/7/10"
1 "Spectrogram 1" 1 18079.167405402 28196.346134014 22.182 24000 "2023/7/11" "7:33:14.1674" "10:21:50.3461" 10117.1787 "Transit" NA NA "2023/7/11"
1 "Spectrogram 1" 1 58273.832578973 63058.669668481 19.572 3601.253 "2023/7/14" "18:42:39.8326" "20:02:24.6697" 4784.8371 "Transit" NA NA "2023/7/14"
1 "Spectrogram 1" 1 72101.801140955 77678.124414699 31.043 1627.282 "2023/7/15" "22:32:55.8011" "0:05:52.1244" 5576.3233 "Transit" NA "" "2023/7/15"
2 "Spectrogram 1" 1 79769.807677284 81761.92080523 23.414 9295.41 "2023/7/16" "0:40:43.8077" "1:13:55.9208" 1992.1131 "Transit" NA "LTSA" "2023/7/15"
1 "Spectrogram 1" 1 24631.676465533 28369.705877757 34.602 16946.943 "2023/7/16" "9:21:36.6765" "10:23:54.7059" 3738.0294 "Maneuver" NA "LTSA" "2023/7/16"
2 "Spectrogram 1" 1 27595.79977887 41056.843876143 33.031 4650.519 "2023/7/16" "10:11:00.7998" "13:55:21.8439" 13461.0441 "Transit" NA "" "2023/7/16"
3 "Spectrogram 1" 1 41395.776015 42944.377811923 433.072 664.289 "2023/7/16" "14:01:00.7760" "14:26:49.3778" 1548.6018 "Transit" NA "" "2023/7/16"
1 "Spectrogram 1" 1 6559.287129972 8145.948277968 29.524 14475.874 "2023/7/17" "4:20:16.2871" "4:46:42.9483" 1586.6611 "Transit" NA NA "2023/7/17"
2 "Spectrogram 1" 1 15250.551889968 18513.373510656 24.958 10848.586 "2023/7/17" "6:45:07.5519" "7:39:30.3735" 3262.8216 "Maneuver" NA NA "2023/7/17"
