Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Date	Begin Clock Time	End Clock Time	Delta Time (s)	Distance (m)	FID_2	Lat	Long	Segment
5239	Spectrogram	1	263	268	250	250	NA	NA	NA	NA	241.770071654771	5239	-28.067895	113.331201666667	Inner
5250	Spectrogram	1	276	281	250	250	NA	NA	NA	NA	243.598083414112	5250	-28.0674683333333	113.331783333333	Inner
5261	Spectrogram	1	288	293	250	250	NA	NA	NA	NA	255.024991515637	5261	-28.0671416666667	113.332413333333	Inner
5272	Spectrogram	1	301	306	250	250	NA	NA	NA	NA	256.324101710816	5272	-28.0670783333333	113.333216666667	Inner
5284	Spectrogram	1	314	319	250	250	NA	NA	NA	NA	247.930077526615	5284	-28.06732	113.333975	Inner
5295	Spectrogram	1	330	335	250	250	NA	NA	NA	NA	269.396924634707	5295	-28.06763	113.334898333333	Inner
5306	Spectrogram	1	345	350	250	250	NA	NA	NA	NA	287.371636340285	5306	-28.068175	113.335586666667	Inner
5318	Spectrogram	1	363	368	250	250	NA	NA	NA	NA	293.345070194091	5318	-28.0690966666667	113.335966666667	Inner
5329	Spectrogram	1	379	384	250	250	NA	NA	NA	NA	289.466474365567	5329	-28.0699933333333	113.335863333333	Inner
5340	Spectrogram	1	396	401	250	250	NA	NA	NA	NA	291.432931753513	5340	-28.070875	113.335441666667	Inner
5352	Spectrogram	1	411	416	250	250	NA	NA	NA	NA	286.784157697278	5352	-28.071455	113.334748333333	Inner
5363	Spectrogram	1	424	429	250	250	NA	NA	NA	NA	272.947754938532	5363	-28.0716883333333	113.333978333333	Inner
5374	Spectrogram	1	436	441	250	250	NA	NA	NA	NA	271.591681737124	5374	-28.0718283333333	113.333188333333	Inner
5386	Spectrogram	1	451	456	250	250	NA	NA	NA	NA	266.488390905618	5386	-28.0716966666667	113.33226	Inner
5397	Spectrogram	1	467	472	250	250	NA	NA	NA	NA	251.299575311374	5397	-28.0711933333333	113.33146	Inner
5408	Spectrogram	1	482	487	250	250	NA	NA	NA	NA	228.507146755461	5408	-28.070485	113.331035	Inner
5420	Spectrogram	1	496	501	250	250	NA	NA	NA	NA	212.178267546096	5420	-28.0697433333333	113.33088	Inner
5431	Spectrogram	1	507	512	250	250	NA	NA	NA	NA	227.215156402445	5431	-28.069165	113.330701666667	Inner
5442	Spectrogram	1	518	523	250	250	NA	NA	NA	NA	240.046865225287	5442	-28.06857	113.330736666667	Inner
5454	Spectrogram	1	530	535	250	250	NA	NA	NA	NA	241.598360449172	5454	-28.067995	113.331105	Inner
5455	Spectrogram	1	532	537	250	250	NA	NA	NA	NA	244.041068921749	5455	-28.0679016666667	113.331163333333	InnerMid
5457	Spectrogram	1	534	539	250	250	NA	NA	NA	NA	249.251366492249	5457	-28.0678066666667	113.331191666667	InnerMid
5459	Spectrogram	1	536	541	250	250	NA	NA	NA	NA	254.350423006257	5459	-28.067705	113.331235	InnerMid
5461	Spectrogram	1	538	543	250	250	NA	NA	NA	NA	263.092445475419	5461	-28.0675883333333	113.331248333333	InnerMid
5463	Spectrogram	1	540	545	250	250	NA	NA	NA	NA	271.578194376074	5463	-28.067475	113.331266666667	InnerMid
5465	Spectrogram	1	542	547	250	250	NA	NA	NA	NA	282.178223819624	5465	-28.0673683333333	113.331245	InnerMid
5467	Spectrogram	1	544	549	250	250	NA	NA	NA	NA	292.638281797408	5467	-28.0672666666667	113.33122	InnerMid
5469	Spectrogram	1	546	551	250	250	NA	NA	NA	NA	304.181715340026	5469	-28.0671666666667	113.331175	InnerMid
5471	Spectrogram	1	548	553	250	250	NA	NA	NA	NA	316.477292615252	5471	-28.067065	113.33112	InnerMid
5473	Spectrogram	1	550	555	250	250	NA	NA	NA	NA	329.588351226571	5473	-28.066965	113.331048333333	InnerMid
5476	Spectrogram	1	553	558	250	250	NA	NA	NA	NA	349.09419482476	5476	-28.06681	113.330951666667	InnerMid
5478	Spectrogram	1	555	560	250	250	NA	NA	NA	NA	361.797751237026	5478	-28.0667083333333	113.33089	InnerMid
5480	Spectrogram	1	557	562	250	250	NA	NA	NA	NA	373.06415589791	5480	-28.0666266666667	113.330821666667	InnerMid
5482	Spectrogram	1	559	564	250	250	NA	NA	NA	NA	383.298184518537	5482	-28.066545	113.330771666667	InnerMid
5484	Spectrogram	1	561	566	250	250	NA	NA	NA	NA	393.340613055711	5484	-28.0664583333333	113.330733333333	InnerMid
5486	Spectrogram	1	564	569	250	250	NA	NA	NA	NA	412.148183303461	5486	-28.0662983333333	113.330658333333	InnerMid
5488	Spectrogram	1	566	571	250	250	NA	NA	NA	NA	426.862125901803	5488	-28.0661683333333	113.330608333333	InnerMid
5490	Spectrogram	1	568	573	250	250	NA	NA	NA	NA	441.52078018104	5490	-28.0660316666667	113.330571666667	InnerMid
5492	Spectrogram	1	571	576	250	250	NA	NA	NA	NA	460.763860057193	5492	-28.0658533333333	113.330523333333	InnerMid
5495	Spectrogram	1	574	579	250	250	NA	NA	NA	NA	475.516731586638	5495	-28.0657116666667	113.330496666667	InnerMid
5496	Spectrogram	1	576	581	250	250	NA	NA	NA	NA	483.117000163733	5496	-28.06563	113.3305	Mid
5518	Spectrogram	1	602	607	250	250	NA	NA	NA	NA	499.333360765441	5518	-28.0650183333333	113.33174	Mid
5541	Spectrogram	1	635	640	250	250	NA	NA	NA	NA	492.005817768649	5541	-28.065	113.333795	Mid
5564	Spectrogram	1	666	671	250	250	NA	NA	NA	NA	516.917221762974	5564	-28.0653683333333	113.335676666667	Mid
5586	Spectrogram	1	695	700	250	250	NA	NA	NA	NA	557.053193980615	5586	-28.06605	113.337241666667	Mid
5609	Spectrogram	1	722	727	250	250	NA	NA	NA	NA	548.137796882365	5609	-28.06739	113.338103333333	Mid
5632	Spectrogram	1	752	757	250	250	NA	NA	NA	NA	509.769960027882	5632	-28.069085	113.338175	Mid
5655	Spectrogram	1	782	787	250	250	NA	NA	NA	NA	522.285564110909	5655	-28.070745	113.338086666667	Mid
5677	Spectrogram	1	804	809	250	250	NA	NA	NA	NA	531.667261742559	5677	-28.0719116666667	113.337596666667	Mid
5700	Spectrogram	1	829	834	250	250	NA	NA	NA	NA	534.002793595601	5700	-28.0730166666667	113.336568333333	Mid
5723	Spectrogram	1	856	861	250	250	NA	NA	NA	NA	536.420692294718	5723	-28.0738466666667	113.335111666667	Mid
5746	Spectrogram	1	880	885	250	250	NA	NA	NA	NA	522.801091388394	5746	-28.0740683333333	113.333623333333	Mid
5768	Spectrogram	1	904	909	250	250	NA	NA	NA	NA	514.873564003572	5768	-28.073945	113.332006666667	Mid
5791	Spectrogram	1	932	937	250	250	NA	NA	NA	NA	508.058051133825	5791	-28.0733316666667	113.330373333333	Mid
5814	Spectrogram	1	963	968	250	250	NA	NA	NA	NA	500.637544066768	5814	-28.0721283333333	113.328955	Mid
5837	Spectrogram	1	989	994	250	250	NA	NA	NA	NA	500.36527182097	5837	-28.070835	113.32818	Mid
5859	Spectrogram	1	1011	1016	250	250	NA	NA	NA	NA	495.628515732307	5859	-28.06962	113.327965	Mid
5882	Spectrogram	1	1041	1046	250	250	NA	NA	NA	NA	473.037780915686	5882	-28.0680416666667	113.328431666667	Mid
5905	Spectrogram	1	1069	1074	250	250	NA	NA	NA	NA	463.557937862547	5905	-28.0666866666667	113.329395	Mid
5928	Spectrogram	1	1094	1099	250	250	NA	NA	NA	NA	479.528879066277	5928	-28.0657183333333	113.330406666667	Mid
