"","Site_ID","Dep","Weekday","Behav","N_ves"
"1","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","F","Transit",1
"2","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","F","Maneuver",0
"3","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","F","Total",1
"4","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","M","Transit",0
"5","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","M","Maneuver",0
"6","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","M","Total",0
"7","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","Sa","Transit",0
"8","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","Sa","Maneuver",0
"9","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","Sa","Total",0
"10","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","S","Transit",1
"11","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","S","Maneuver",0
"12","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","S","Total",1
"13","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","R","Transit",1
"14","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","R","Maneuver",0
"15","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","R","Total",1
"16","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","T","Transit",2
"17","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","T","Maneuver",0
"18","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","T","Total",2
"19","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","W","Transit",0
"20","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","W","Maneuver",0
"21","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","W","Total",0
"22","ABW","PARKSAUSTRALIA_ABROLHOS_202306_ABW","F","Transit",9
"23","ABW","PARKSAUSTRALIA_ABROLHOS_202306_ABW","F","Maneuver",1
"24","ABW","PARKSAUSTRALIA_ABROLHOS_202306_ABW","F","Total",10
"25","ABW","PARKSAUSTRALIA_ABROLHOS_202306_ABW","M","Transit",9
"26","ABW","PARKSAUSTRALIA_ABROLHOS_202306_ABW","M","Maneuver",1
"27","ABW","PARKSAUSTRALIA_ABROLHOS_202306_ABW","M","Total",10
"28","ABW","PARKSAUSTRALIA_ABROLHOS_202306_ABW","Sa","Transit",9
"29","ABW","PARKSAUSTRALIA_ABROLHOS_202306_ABW","Sa","Maneuver",1
"30","ABW","PARKSAUSTRALIA_ABROLHOS_202306_ABW","Sa","Total",10
"31","ABW","PARKSAUSTRALIA_ABROLHOS_202306_ABW","S","Transit",8
"32","ABW","PARKSAUSTRALIA_ABROLHOS_202306_ABW","S","Maneuver",1
"33","ABW","PARKSAUSTRALIA_ABROLHOS_202306_ABW","S","Total",9
"34","ABW","PARKSAUSTRALIA_ABROLHOS_202306_ABW","R","Transit",15
"35","ABW","PARKSAUSTRALIA_ABROLHOS_202306_ABW","R","Maneuver",2
"36","ABW","PARKSAUSTRALIA_ABROLHOS_202306_ABW","R","Total",17
"37","ABW","PARKSAUSTRALIA_ABROLHOS_202306_ABW","T","Transit",11
"38","ABW","PARKSAUSTRALIA_ABROLHOS_202306_ABW","T","Maneuver",0
"39","ABW","PARKSAUSTRALIA_ABROLHOS_202306_ABW","T","Total",11
"40","ABW","PARKSAUSTRALIA_ABROLHOS_202306_ABW","W","Transit",7
"41","ABW","PARKSAUSTRALIA_ABROLHOS_202306_ABW","W","Maneuver",1
"42","ABW","PARKSAUSTRALIA_ABROLHOS_202306_ABW","W","Total",8
