"","Selection","View","Channel","Begin_Time","End_Time","Low_Freq","High_Freq","Begin_Date","Begin_Clock","End_Clock","Delta_Time_s","Behavior","Partial","Notes","Begin_file_date","Dep","Site_ID","DeltaHours","Hr_time","Hr_local","Begin_Hour_loc","Begin_Date_loc","Weekday"
"1",1,"Spectrogram 1",1,24195.905886887,29764.906475419,65.4,6778.4,2023-07-11,07:53:38,09:26:27,5569.0006,"Transit",NA,NA,"2023/7/11","202306","ABE",1.54694461111111,2023-07-11 07:53:38,2023-07-11 15:53:38,15,2023-07-11,"Tuesday"
"2",2,"Spectrogram 1",1,12449.101238001,12535.949370583,65.4,7733.5,2023-07-11,04:37:53,04:39:19,86.8481,"Transit",NA,NA,"2023/7/11","202306","ABE",0.0241244722222222,2023-07-11 04:37:53,2023-07-11 12:37:53,12,2023-07-11,"Tuesday"
"3",1,"Spectrogram 1",1,8805.448477367,10544.983901293,87.1,15097.3,2023-07-13,03:36:53,04:05:52,1739.5354,"Transit",NA,NA,"2023/7/13","202306","ABE",0.483204277777778,2023-07-13 03:36:53,2023-07-13 11:36:53,11,2023-07-13,"Thursday"
"4",1,"Spectrogram 1",1,32121.00178643,34391.349593496,26.5,12341.3,2023-07-16,10:04:58,10:42:49,2270.3478,"Transit",NA,NA,"2023/7/16","202306","ABE",0.630652166666667,2023-07-16 10:04:58,2023-07-16 18:04:58,18,2023-07-16,"Sunday"
"5",1,"Spectrogram 1",1,26443.213216647,28936.738530127,200.3,10999.4,2023-08-11,08:26:16,09:07:50,2493.5253,"Transit",NA,NA,"2023/8/11","202306","ABE",0.692645916666667,2023-08-11 08:26:16,2023-08-11 16:26:16,16,2023-08-11,"Friday"
"6",1,"Spectrogram 1",1,79372.304524213,82737.242369186,22.143,20194.615,2023-06-28,00:55:49,01:51:54,3364.9378,"Transit",NA,NA,"2023/6/28","202306","ABW",0.934704944444445,2023-06-28 00:55:49,2023-06-28 08:55:49,8,2023-06-28,"Wednesday"
"7",1,"Spectrogram 1",1,15481.880594714,20498.238785572,33.422,3724.6,2023-06-30,06:51:35,08:15:12,5016.3582,"Transit",NA,NA,"2023/6/30","202306","ABW",1.39343283333333,2023-06-30 06:51:35,2023-06-30 14:51:35,14,2023-06-30,"Friday"
"8",1,"Spectrogram 1",1,54955.296819404,64231.054739643,16.521,24000,2023-07-01,17:49:17,20:23:52,9275.7579,"Transit",NA,NA,"2023/7/1","202306","ABW",2.57659941666667,2023-07-01 17:49:17,2023-07-02 01:49:17,1,2023-07-02,"Sunday"
"9",1,"Spectrogram 1",1,30206.481262863,33291.653669318,25.416,24000,2023-07-02,10:56:41,11:48:06,3085.1724,"Transit",NA,NA,"2023/7/2","202306","ABW",0.856992333333333,2023-07-02 10:56:41,2023-07-02 18:56:41,18,2023-07-02,"Sunday"
"10",2,"Spectrogram 1",1,55825.497726504,62998.904961067,22.873,3986.462,2023-07-02,18:03:39,20:03:12,7173.4072,"Transit",NA,NA,"2023/7/2","202306","ABW",1.99261311111111,2023-07-02 18:03:39,2023-07-03 02:03:39,2,2023-07-03,"Monday"
"11",1,"Spectrogram 1",1,56118.780535952,62268.739810933,15.074,24000,2023-07-03,18:08:23,19:50:53,6149.9593,"Transit",NA,NA,"2023/7/3","202306","ABW",1.70832202777778,2023-07-03 18:08:23,2023-07-04 02:08:23,2,2023-07-04,"Tuesday"
