"","Site_ID","Dep","Weekday","Behav","N_ves"
"1","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","F","Transit",1
"2","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","F","Maneuver",0
"3","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","F","Total",1
"4","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","M","Transit",0
"5","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","M","Maneuver",0
"6","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","M","Total",0
"7","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","Sa","Transit",0
"8","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","Sa","Maneuver",0
"9","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","Sa","Total",0
"10","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","S","Transit",1
"11","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","S","Maneuver",0
"12","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","S","Total",1
"13","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","R","Transit",1
"14","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","R","Maneuver",0
"15","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","R","Total",1
"16","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","T","Transit",2
"17","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","T","Maneuver",0
"18","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","T","Total",2
"19","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","W","Transit",0
"20","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","W","Maneuver",0
"21","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE","W","Total",0
