"","Begin_Date","Begin_Hour","Maneuver","Transit"
"1",2024-11-27,0,0,0
"2",2024-11-27,1,0,0
"3",2024-11-27,2,0,0
"4",2024-11-27,3,0,0
"5",2024-11-27,4,0,0
"6",2024-11-27,5,0,0
"7",2024-11-27,6,0,0
"8",2024-11-27,7,0,0
"9",2024-11-27,8,0,0
"10",2024-11-27,9,0,0
"11",2024-11-27,10,0,0
"12",2024-11-27,11,0,0
"13",2024-11-27,12,0,0
"14",2024-11-27,13,0,0
"15",2024-11-27,14,0,0
"16",2024-11-27,15,0,0
"17",2024-11-27,16,0,0
"18",2024-11-27,17,0,0
"19",2024-11-27,18,0,0
"20",2024-11-27,19,0,0
"21",2024-11-27,20,0,0
"22",2024-11-27,21,0,0
"23",2024-11-27,22,0,0
"24",2024-11-27,23,0,0
"25",2024-11-28,0,0,0
"26",2024-11-28,1,0,0
"27",2024-11-28,2,0,0
"28",2024-11-28,3,0,0
"29",2024-11-28,4,0,0
"30",2024-11-28,5,0,0
"31",2024-11-28,6,0,0
"32",2024-11-28,7,0,0
"33",2024-11-28,8,0,0
"34",2024-11-28,9,0,0
"35",2024-11-28,10,0,0
"36",2024-11-28,11,0,0
"37",2024-11-28,12,0,0
"38",2024-11-28,13,0,0
"39",2024-11-28,14,0,0
"40",2024-11-28,15,0,0
"41",2024-11-28,16,0,0
"42",2024-11-28,17,0,0
"43",2024-11-28,18,0,0
"44",2024-11-28,19,0,0
"45",2024-11-28,20,0,0
"46",2024-11-28,21,0,0
"47",2024-11-28,22,0,0
"48",2024-11-28,23,0,0
"49",2024-11-29,0,0,0
"50",2024-11-29,1,0,0
"51",2024-11-29,2,0,0
"52",2024-11-29,3,0,0
"53",2024-11-29,4,0,0
"54",2024-11-29,5,0,0
"55",2024-11-29,6,0,0
"56",2024-11-29,7,0,0
"57",2024-11-29,8,0,0
"58",2024-11-29,9,0,0
"59",2024-11-29,10,0,0
"60",2024-11-29,11,0,0
"61",2024-11-29,12,0,0
"62",2024-11-29,13,0,0
"63",2024-11-29,14,0,0
"64",2024-11-29,15,0,0
"65",2024-11-29,16,0,0
"66",2024-11-29,17,0,0
"67",2024-11-29,18,0,0
"68",2024-11-29,19,0,0
"69",2024-11-29,20,0,0
"70",2024-11-29,21,0,0
"71",2024-11-29,22,0,0
"72",2024-11-29,23,0,0
"73",2024-11-30,0,0,0
"74",2024-11-30,1,0,0
"75",2024-11-30,2,0,0
"76",2024-11-30,3,0,0
"77",2024-11-30,4,0,0
"78",2024-11-30,5,0,0
"79",2024-11-30,6,0,0
"80",2024-11-30,7,0,0
"81",2024-11-30,8,0,0
"82",2024-11-30,9,0,0
"83",2024-11-30,10,0,0
"84",2024-11-30,11,0,0
"85",2024-11-30,12,0,0
"86",2024-11-30,13,0,0
"87",2024-11-30,14,0,0
"88",2024-11-30,15,0,0
"89",2024-11-30,16,0,0
"90",2024-11-30,17,0,0
"91",2024-11-30,18,0,0
"92",2024-11-30,19,0,0
"93",2024-11-30,20,0,0
"94",2024-11-30,21,0,0
"95",2024-11-30,22,0,0
"96",2024-11-30,23,0,0
"97",2024-12-01,0,0,0
"98",2024-12-01,1,0,0
"99",2024-12-01,2,0,0
"100",2024-12-01,3,0,0
"101",2024-12-01,4,0,0
"102",2024-12-01,5,0,0
"103",2024-12-01,6,0,0
"104",2024-12-01,7,0,0
"105",2024-12-01,8,0,0
"106",2024-12-01,9,0,0
"107",2024-12-01,10,0,0
"108",2024-12-01,11,0,0
"109",2024-12-01,12,0,0
"110",2024-12-01,13,0,0
"111",2024-12-01,14,0,0
"112",2024-12-01,15,0,0
"113",2024-12-01,16,0,0
"114",2024-12-01,17,0,0
"115",2024-12-01,18,0,0
"116",2024-12-01,19,0,0
"117",2024-12-01,20,0,0
"118",2024-12-01,21,0,0
"119",2024-12-01,22,0,0
"120",2024-12-01,23,0,0
"121",2024-12-02,0,0,0
"122",2024-12-02,1,0,0
"123",2024-12-02,2,0,0
"124",2024-12-02,3,0,0
"125",2024-12-02,4,0,0
"126",2024-12-02,5,0,0
"127",2024-12-02,6,0,0
"128",2024-12-02,7,0,0
"129",2024-12-02,8,0,0
"130",2024-12-02,9,0,0
"131",2024-12-02,10,0,0
"132",2024-12-02,11,0,0
"133",2024-12-02,12,0,0
"134",2024-12-02,13,0,0
"135",2024-12-02,14,0,0
"136",2024-12-02,15,0,0
"137",2024-12-02,16,0,0
"138",2024-12-02,17,0,0
"139",2024-12-02,18,0,0
"140",2024-12-02,19,0,0
"141",2024-12-02,20,0,0
"142",2024-12-02,21,0,0
"143",2024-12-02,22,0,0
"144",2024-12-02,23,0,0
"145",2024-12-03,0,0,0
"146",2024-12-03,1,0,0
"147",2024-12-03,2,0,0
"148",2024-12-03,3,0,0
"149",2024-12-03,4,0,0
"150",2024-12-03,5,0,0
"151",2024-12-03,6,0,0
"152",2024-12-03,7,0,0
