"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Behavior" "Partial" "Notes" "Begin_file_date"
1 "Spectrogram 1" 1 38762.148241206 68345.570351759 265 650.9 "2024/12/6" "14:42:13.1482" "22:55:16.5704" 29583.4221 "Transit" NA NA "2024/12/6"
1 "Spectrogram 1" 1 44143.417085427 45696.165829146 16.3 2150.6 "2024/12/12" "16:11:27.4171" "16:37:20.1658" 1552.7487 "Transit" NA NA "2024/12/12"
2 "Spectrogram 1" 1 78103.879396985 84917.964824121 28.5 22288.5 "2024/12/13" "1:37:27.8794" "3:31:01.9648" 6814.0854 "Maneuver" NA NA "2024/12/12"
1 "Spectrogram 1" 1 15554.736180905 16812.535175879 51.2 5560.3 "2024/12/13" "8:14:53.7362" "8:35:51.5352" 1257.799 "Transit" NA NA "2024/12/13"
2 "Spectrogram 1" 1 26111.306532663 27651.618090452 45.7 6961.2 "2024/12/13" "11:10:50.3065" "11:36:31.6181" 1540.3116 "Maneuver" NA NA "2024/12/13"
3 "Spectrogram 1" 1 28567.180904523 31137.834170854 35 2747.8 "2024/12/13" "11:51:46.1809" "12:34:37.8342" 2570.6533 "Maneuver" NA NA "2024/12/13"
4 "Spectrogram 1" 1 78400.002512563 79325.816582915 773.4 1645.9 "2024/12/14" "1:42:19.0025" "1:57:45.8166" 925.8141 "Transit" NA NA "2024/12/13"
5 "Spectrogram 1" 1 79648.572864322 82470.072864322 19 1147.6 "2024/12/14" "2:03:07.5729" "2:50:09.0729" 2821.5 "Transit" NA NA "2024/12/13"
1 "Spectrogram 1" 1 57754.783919598 66227.273869347 13.1 743.1 "2024/12/16" "19:57:58.7839" "22:19:11.2739" 8472.4899 "Transit" NA NA "2024/12/16"
1 "Spectrogram 1" 1 79381.334170854 80167.047738693 39.1 17933.7 "2024/12/29" "0:10:40.3342" "0:23:46.0477" 785.7136 "Maneuver" NA NA "2024/12/29"
1 "Spectrogram 1" 1 1622.434673367 3033.422110553 26.2 8212.4 "2024/12/29" "2:34:38.4347" "2:58:09.4221" 1410.9874 "Maneuver" NA NA "2024/12/29"
1 "Spectrogram 1" 1 16849.175879397 23996.510050251 27.8 2188 "2024/12/31" "6:48:14.1759" "8:47:21.5101" 7147.3342 "Transit" NA NA "2024/12/31"
1 "Spectrogram 1" 1 16911.587939698 27303.896984925 24.7 1185.6 "2025/1/2" "6:49:05.5879" "9:42:21.8970" 10392.309 "Transit" NA NA "2025/1/2"
1 "Spectrogram 1" 1 83510.216080402 86389.011490787 20.7 21998.9 "2025/1/5" "1:18:56.2161" "2:06:54.0115" 2878.7954 "Maneuver" NA NA "2025/1/5"
1 "Spectrogram 1" 1 24394.575376884 29010.399497487 52.3 745 "2025/1/7" "8:53:19.5754" "10:10:15.3995" 4615.8241 "Transit" NA NA "2025/1/7"
1 "Spectrogram 1" 1 72150.43718593 72760.413331554 20.4 7326.5 "2025/1/8" "22:09:11.4372" "22:19:21.4133" 609.9761 "Maneuver" "" NA "2025/1/8"
2 "Spectrogram 1" 1 76863.190954774 77961.349246231 25.5 18760 "2025/1/8" "23:27:44.1910" "23:46:02.3492" 1098.1583 "Maneuver" "" NA "2025/1/8"
3 "Spectrogram 1" 1 79505.020100503 80537.510050251 32.5 16739.7 "2025/1/9" "0:11:46.0201" "0:28:58.5101" 1032.4899 "Maneuver" "" NA "2025/1/8"
4 "Spectrogram 1" 1 80667.625628141 84703.040201005 25.3 9033.6 "2025/1/9" "0:31:09.6256" "1:38:24.0402" 4035.4146 "Transit" "" NA "2025/1/8"
5 "Spectrogram 1" 1 84587.962311558 86395.150645833 10.2 1571.4 "2025/1/9" "1:36:29.9623" "2:06:36.1506" 1807.1883 "Maneuver" "y" NA "2025/1/8"
1 "Spectrogram 1" 1 0 324.701005025 154.3 5863.4 "2025/1/9" "2:06:36.0000" "2:12:00.7010" 324.701 "Maneuver" "yes" "" "2025/1/9"
2 "Spectrogram 1" 1 1176.761306533 4041.904522613 26.8 1264.6 "2025/1/9" "2:26:12.7613" "3:13:57.9045" 2865.1432 "Maneuver" "" "LTSA" "2025/1/9"
3 "Spectrogram 1" 1 7934.641961893 8947.910806114 38 5286.5 "2025/1/9" "4:18:50.6420" "4:35:43.9108" 1013.2688 "Maneuver" "" "LTSA" "2025/1/9"
1 "Spectrogram 1" 1 72316.07380067 73176.387871022 26.4 4555.4 "2025/1/11" "22:11:44.0738" "22:26:04.3879" 860.3141 "Maneuver" NA "LTSA" "2025/1/11"
2 "Spectrogram 1" 1 75926.28895959 76065.78895959 27.5 4120.9 "2025/1/11" "23:11:54.2890" "23:14:14.7890" 139.5 "Maneuver" NA "LTSA" "2025/1/11"
3 "Spectrogram 1" 1 83810.809060092 85720.827569514 96 881.3 "2025/1/12" "1:23:19.8091" "1:55:09.8276" 1910.0185 "Maneuver" NA "LTSA" "2025/1/11"
1 "Spectrogram 1" 1 5036.246231156 6750.316582915 70.4 1412.1 "2025/1/12" "3:30:19.2462" "3:58:53.3166" 1714.0704 "Maneuver" "" "LTSA" "2025/1/12"
2 "Spectrogram 1" 1 38593.78959977 70201.190954774 46.8 680.7 "2025/1/12" "12:49:36.7896" "21:36:23.1910" 31607.4014 "Transit" "" "very faint at points but there is a consistent band ~660 hz throughout" "2025/1/12"
