Selection	View	Channel	Begin_Time	End_Time	Low_Freq	High_Freq	Begin_Date	Begin_Clock	End_Clock	Delta_Time_s	Behavior	Partial	Notes	Begin_file_date
1	Spectrogram 1	1	38762.14824	68345.57035	265	650.9	2024/12/06	14:42:13	22:55:17	29583.4221	Transit	NA	NA	12/6/2024
1	Spectrogram 1	1	44143.41709	45696.16583	16.3	2150.6	2024/12/12	16:11:27	16:37:20	1552.7487	Transit	NA	NA	12/12/2024
2	Spectrogram 1	1	78103.8794	84917.96482	28.5	22288.5	2024/12/13	1:37:28	3:31:02	6814.0854	Maneuver	NA	NA	12/12/2024
1	Spectrogram 1	1	15554.73618	16812.53518	51.2	5560.3	2024/12/13	8:14:54	8:35:52	1257.799	Transit	NA	NA	12/13/2024
2	Spectrogram 1	1	26111.30653	27651.61809	45.7	6961.2	2024/12/13	11:10:50	11:36:32	1540.3116	Maneuver	NA	NA	12/13/2024
3	Spectrogram 1	1	28567.1809	31137.83417	35	2747.8	2024/12/13	11:51:46	12:34:38	2570.6533	Maneuver	NA	NA	12/13/2024
4	Spectrogram 1	1	78400.00251	79325.81658	773.4	1645.9	2024/12/14	1:42:19	1:57:46	925.8141	Transit	NA	NA	12/13/2024
5	Spectrogram 1	1	79648.57286	82470.07286	19	1147.6	2024/12/14	2:03:08	2:50:09	2821.5	Transit	NA	NA	12/13/2024
1	Spectrogram 1	1	57754.78392	66227.27387	13.1	743.1	2024/12/16	19:57:59	22:19:11	8472.4899	Transit	NA	NA	12/16/2024
1	Spectrogram 1	1	79381.33417	80167.04774	39.1	17933.7	2024/12/29	0:10:40	0:23:46	785.7136	Maneuver	NA	NA	12/29/2024
1	Spectrogram 1	1	1622.434673	3033.422111	26.2	8212.4	2024/12/29	2:34:38	2:58:09	1410.9874	Maneuver	NA	NA	12/29/2024
1	Spectrogram 1	1	16849.17588	23996.51005	27.8	2188	2024/12/31	6:48:14	8:47:22	7147.3342	Transit	NA	NA	12/31/2024
1	Spectrogram 1	1	16911.58794	27303.89698	24.7	1185.6	2025/01/02	6:49:06	9:42:22	10392.309	Transit	NA	NA	1/2/2025
1	Spectrogram 1	1	83510.21608	86389.01149	20.7	21998.9	2025/01/05	1:18:56	2:06:54	2878.7954	Maneuver	NA	NA	1/5/2025
1	Spectrogram 1	1	24394.57538	29010.3995	52.3	745	2025/01/07	8:53:20	10:10:15	4615.8241	Transit	NA	NA	1/7/2025
1	Spectrogram 1	1	72150.43719	72760.41333	20.4	7326.5	2025/01/08	22:09:11	22:19:21	609.9761	Maneuver		NA	1/8/2025
2	Spectrogram 1	1	76863.19095	77961.34925	25.5	18760	2025/01/08	23:27:44	23:46:02	1098.1583	Maneuver		NA	1/8/2025
3	Spectrogram 1	1	79505.0201	80537.51005	32.5	16739.7	2025/01/09	0:11:46	0:28:59	1032.4899	Maneuver		NA	1/8/2025
4	Spectrogram 1	1	80667.62563	84703.0402	25.3	9033.6	2025/01/09	0:31:10	1:38:24	4035.4146	Transit		NA	1/8/2025
5	Spectrogram 1	1	84587.96231	86719.85165	10.2	5863.4	2025/01/09	1:36:30	2:12:01	2131.8893	Maneuver	yes	NA	1/8/2025
2	Spectrogram 1	1	1176.761307	4041.904523	26.8	1264.6	2025/01/09	2:26:13	3:13:58	2865.1432	Maneuver		LTSA	1/9/2025
3	Spectrogram 1	1	7934.641962	8947.910806	38	5286.5	2025/01/09	4:18:51	4:35:44	1013.2688	Maneuver		LTSA	1/9/2025
