"","Site_ID","Dep","Weekday","Behav","N_ves"
"1","BRE","PARKSAUSTRALIA_BREMER_202411_BRE","F","Transit",0
"2","BRE","PARKSAUSTRALIA_BREMER_202411_BRE","F","Maneuver",0
"3","BRE","PARKSAUSTRALIA_BREMER_202411_BRE","F","Total",0
"4","BRE","PARKSAUSTRALIA_BREMER_202411_BRE","M","Transit",0
"5","BRE","PARKSAUSTRALIA_BREMER_202411_BRE","M","Maneuver",0
"6","BRE","PARKSAUSTRALIA_BREMER_202411_BRE","M","Total",0
"7","BRE","PARKSAUSTRALIA_BREMER_202411_BRE","Sa","Transit",1
"8","BRE","PARKSAUSTRALIA_BREMER_202411_BRE","Sa","Maneuver",3
"9","BRE","PARKSAUSTRALIA_BREMER_202411_BRE","Sa","Total",4
"10","BRE","PARKSAUSTRALIA_BREMER_202411_BRE","S","Transit",0
"11","BRE","PARKSAUSTRALIA_BREMER_202411_BRE","S","Maneuver",1
"12","BRE","PARKSAUSTRALIA_BREMER_202411_BRE","S","Total",1
"13","BRE","PARKSAUSTRALIA_BREMER_202411_BRE","R","Transit",0
"14","BRE","PARKSAUSTRALIA_BREMER_202411_BRE","R","Maneuver",10
"15","BRE","PARKSAUSTRALIA_BREMER_202411_BRE","R","Total",10
"16","BRE","PARKSAUSTRALIA_BREMER_202411_BRE","T","Transit",1
"17","BRE","PARKSAUSTRALIA_BREMER_202411_BRE","T","Maneuver",0
"18","BRE","PARKSAUSTRALIA_BREMER_202411_BRE","T","Total",1
"19","BRE","PARKSAUSTRALIA_BREMER_202411_BRE","W","Transit",1
"20","BRE","PARKSAUSTRALIA_BREMER_202411_BRE","W","Maneuver",0
"21","BRE","PARKSAUSTRALIA_BREMER_202411_BRE","W","Total",1
"22","BRW","PARKSAUSTRALIA_BREMER_202411_BRW","F","Transit",4
"23","BRW","PARKSAUSTRALIA_BREMER_202411_BRW","F","Maneuver",3
"24","BRW","PARKSAUSTRALIA_BREMER_202411_BRW","F","Total",7
"25","BRW","PARKSAUSTRALIA_BREMER_202411_BRW","M","Transit",3
"26","BRW","PARKSAUSTRALIA_BREMER_202411_BRW","M","Maneuver",2
"27","BRW","PARKSAUSTRALIA_BREMER_202411_BRW","M","Total",5
"28","BRW","PARKSAUSTRALIA_BREMER_202411_BRW","Sa","Transit",3
"29","BRW","PARKSAUSTRALIA_BREMER_202411_BRW","Sa","Maneuver",0
"30","BRW","PARKSAUSTRALIA_BREMER_202411_BRW","Sa","Total",3
"31","BRW","PARKSAUSTRALIA_BREMER_202411_BRW","S","Transit",4
"32","BRW","PARKSAUSTRALIA_BREMER_202411_BRW","S","Maneuver",7
"33","BRW","PARKSAUSTRALIA_BREMER_202411_BRW","S","Total",11
"34","BRW","PARKSAUSTRALIA_BREMER_202411_BRW","R","Transit",4
"35","BRW","PARKSAUSTRALIA_BREMER_202411_BRW","R","Maneuver",7
"36","BRW","PARKSAUSTRALIA_BREMER_202411_BRW","R","Total",11
"37","BRW","PARKSAUSTRALIA_BREMER_202411_BRW","T","Transit",4
"38","BRW","PARKSAUSTRALIA_BREMER_202411_BRW","T","Maneuver",0
"39","BRW","PARKSAUSTRALIA_BREMER_202411_BRW","T","Total",4
"40","BRW","PARKSAUSTRALIA_BREMER_202411_BRW","W","Transit",2
"41","BRW","PARKSAUSTRALIA_BREMER_202411_BRW","W","Maneuver",7
"42","BRW","PARKSAUSTRALIA_BREMER_202411_BRW","W","Total",9
