"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Behavior" "Partial" "Notes" "Begin_file_date"
1 "Spectrogram 1" 1 24632.615577889 28940.133165829 14.9 6623.5 "2024/12/3" "10:44:40.6156" "11:56:27.1332" 4307.5176 "Transit" NA NA "2024/12/3"
2 "Spectrogram 1" 1 45501.967336683 49833.025125628 13.2 16286.9 "2024/12/3" "16:32:30.9673" "17:44:41.0251" 4331.0578 "Transit" NA NA "2024/12/3"
1 "Spectrogram 1" 1 22458.610552764 25417.688442211 8.1 24000 "2024/12/14" "10:07:34.6106" "10:56:53.6884" 2959.0779 "Transit" NA NA "2024/12/14"
1 "Spectrogram 1" 1 58929.301507538 64702.190954774 28.7 22764.2 "2024/12/28" "20:47:49.3015" "22:24:02.1910" 5772.8894 "Maneuver" NA NA "2024/12/28"
1 "Spectrogram 1" 1 60608.924623116 65071.680904523 18.6 15043.9 "2025/1/3" "21:15:25.9246" "22:29:48.6809" 4462.7563 "Maneuver" NA NA "2025/1/3"
2 "Spectrogram 1" 1 76183.826633166 79742.874371859 24.9 8028 "2025/1/4" "1:35:00.8266" "2:34:19.8744" 3559.0477 "Maneuver" NA NA "2025/1/3"
1 "Spectrogram 1" 1 23878.748743719 33016.771356784 19.6 10691.6 "2025/1/4" "11:03:08.7487" "13:35:26.7714" 9138.0226 "Maneuver" NA NA "2025/1/4"
1 "Spectrogram 1" 1 60430.138190955 64940.947236181 67.9 7817.5 "2025/1/8" "21:12:03.1382" "22:27:14.9472" 4510.809 "Maneuver" NA "" "2025/1/8"
2 "Spectrogram 1" 1 68127.91959799 69130.447236181 15.6 22909.7 "2025/1/8" "23:20:21.9196" "23:37:03.4472" 1002.5276 "Maneuver" NA "CPA" "2025/1/8"
3 "Spectrogram 1" 1 70753.72361809 71710.120603015 17 9256.2 "2025/1/9" "0:04:06.7236" "0:20:03.1206" 956.397 "Maneuver" NA "" "2025/1/8"
4 "Spectrogram 1" 1 72502.575376884 73626.060301508 132.3 794 "2025/1/9" "0:33:15.5754" "0:51:59.0603" 1123.4849 "Maneuver" NA "LTSA" "2025/1/8"
5 "Spectrogram 1" 1 73857.923381805 76117.104286327 57.6 7907.9 "2025/1/9" "0:55:51.9234" "1:33:30.1043" 2259.1809 "Maneuver" NA "LTSA" "2025/1/8"
6 "Spectrogram 1" 1 76711.374371859 80673.036442839 27.1 8577.6 "2025/1/9" "1:43:24.3744" "2:49:26.0364" 3961.6621 "Maneuver" NA "LTSA" "2025/1/8"
7 "Spectrogram 1" 1 81143.207297111 81282.141970477 24 5758.2 "2025/1/9" "2:57:16.2073" "2:59:35.1420" 138.9347 "Maneuver" NA "LTSA" "2025/1/8"
8 "Spectrogram 1" 1 81622.920876989 84433.114344326 23.8 4318.6 "2025/1/9" "3:05:16.9209" "3:52:06.1143" 2810.1935 "Maneuver" NA "LTSA" "2025/1/8"
9 "Spectrogram 1" 1 84703.914572864 85431.512562814 19.2 8496.1 "2025/1/9" "3:56:36.9146" "4:08:44.5126" 727.598 "Maneuver" NA "" "2025/1/8"
1 "Spectrogram 1" 1 0 5023.492462312 16.9 16949.8 "2025/1/9" "4:24:50.0000" "5:48:33.4925" 5023.4925 "Maneuver" NA NA "2025/1/9"
