"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Behavior" "Partial" "Notes" "Begin_file_date"
1 "Spectrogram 1" 1 17644.304020101 24803.698492462 99 1004.1 "2024/5/1" "10:50:34.3040" "12:49:51.6985" 7159.3945 "Transit" NA "TB" "2024/5/1"
1 "Spectrogram 1" 1 75532.56281407 77731.615577889 17.3 21376.1 "2024/5/14" "2:53:01.5628" "3:29:40.6156" 2199.0528 "Transit" NA NA "2024/5/14"
1 "Spectrogram 1" 1 10890.304020101 14418.484924623 20.161 2281.106 "2024/5/17" "8:54:58.3040" "9:53:46.4849" 3528.1809 "Transit" NA NA "2024/5/17"
1 "Spectrogram 1" 1 46359.022613065 51333.263824539 23 1083.5 "2024/5/20" "18:45:25.0226" "20:08:19.2638" 4974.2412 "Transit" NA NA "2024/5/20"
1 "Spectrogram 1" 1 52730.22361809 55789.590452261 34.6 731.6 "2024/5/26" "20:30:28.2236" "21:21:27.5905" 3059.3668 "Transit" NA NA "2024/5/26"
2 "Spectrogram 1" 1 70355.231155779 73320.188442211 28.8 24000 "2024/5/27" "1:24:11.2312" "2:13:36.1884" 2964.9573 "Transit" NA NA "2024/5/26"
1 "Spectrogram 1" 1 78422.726130653 80439.291457286 86.4 731.6 "2024/6/6" "3:36:37.7261" "4:10:13.2915" 2016.5653 "Transit" NA NA "2024/6/6"
1 "Spectrogram 1" 1 61127.487437186 65426.864321608 301.9 694.4 "2024/6/14" "22:46:39.4874" "23:58:17.8643" 4299.3769 "Transit" NA NA "2024/6/14"
1 "Spectrogram 1" 1 66133.535175879 77085.110552764 77.8 2655.7 "2024/6/20" "0:09:03.5352" "3:11:35.1106" 10951.5754 "Transit" NA "TB" "2024/6/20"
1 "Spectrogram 1" 1 79903.725480842 86394.455979167 415.7 923.1 "2024/6/24" "3:57:47.7255" "5:45:57.4560" 6490.7305 "Transit" "yes" NA "2024/6/24"
1 "Spectrogram 1" 1 80055.540201005 83783.891025126 22.2 541 "2024/6/25" "4:00:05.5402" "5:02:13.8910" 3728.3508 "Transit" NA NA "2024/6/25"
1 "Spectrogram 1" 1 26180.655778894 47248.150753769 74.1 481.8 "2024/6/25" "13:02:02.6558" "18:53:07.1508" 21067.495 "Transit" NA "LTSA" "2024/6/25"
