"","Site_ID","Dep","Begin_Hour_loc","Behav","N_ves"
"1","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",0,"Transit",1
"2","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",0,"Maneuver",0
"3","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",0,"Total",1
"4","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",1,"Transit",0
"5","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",1,"Maneuver",0
"6","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",1,"Total",0
"7","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2,"Transit",0
"8","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2,"Maneuver",0
"9","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",2,"Total",0
"10","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",3,"Transit",0
"11","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",3,"Maneuver",0
"12","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",3,"Total",0
"13","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",4,"Transit",0
"14","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",4,"Maneuver",0
"15","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",4,"Total",0
"16","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",5,"Transit",1
"17","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",5,"Maneuver",0
"18","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",5,"Total",1
"19","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",6,"Transit",0
"20","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",6,"Maneuver",0
"21","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",6,"Total",0
"22","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",7,"Transit",1
"23","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",7,"Maneuver",0
"24","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",7,"Total",1
"25","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",8,"Transit",0
"26","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",8,"Maneuver",0
"27","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",8,"Total",0
"28","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",9,"Transit",1
"29","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",9,"Maneuver",0
"30","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",9,"Total",1
"31","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",10,"Transit",0
"32","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",10,"Maneuver",0
"33","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",10,"Total",0
"34","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",11,"Transit",1
"35","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",11,"Maneuver",0
"36","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",11,"Total",1
"37","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",12,"Transit",1
"38","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",12,"Maneuver",0
"39","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",12,"Total",1
"40","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",13,"Transit",1
"41","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",13,"Maneuver",0
"42","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",13,"Total",1
"43","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",14,"Transit",2
"44","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",14,"Maneuver",0
"45","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",14,"Total",2
"46","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",15,"Transit",1
"47","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",15,"Maneuver",0
"48","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",15,"Total",1
"49","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",16,"Transit",0
"50","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",16,"Maneuver",0
"51","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",16,"Total",0
"52","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",17,"Transit",0
"53","CEC","PARKSAUSTRALIA_CEMP_202404_CEC",17,"Maneuver",0
