"","Site_ID","Dep","Weekday","Behav","N_ves"
"1","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","F","Transit",1
"2","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","F","Maneuver",0
"3","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","F","Total",1
"4","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","M","Transit",3
"5","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","M","Maneuver",0
"6","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","M","Total",3
"7","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","Sa","Transit",1
"8","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","Sa","Maneuver",0
"9","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","Sa","Total",1
"10","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","S","Transit",0
"11","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","S","Maneuver",0
"12","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","S","Total",0
"13","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","R","Transit",2
"14","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","R","Maneuver",0
"15","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","R","Total",2
"16","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","T","Transit",4
"17","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","T","Maneuver",0
"18","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","T","Total",4
"19","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","W","Transit",1
"20","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","W","Maneuver",0
"21","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","W","Total",1
"22","CEN","PARKSAUSTRALIA_CEMP_202404_CEN","F","Transit",1
"23","CEN","PARKSAUSTRALIA_CEMP_202404_CEN","F","Maneuver",0
"24","CEN","PARKSAUSTRALIA_CEMP_202404_CEN","F","Total",1
"25","CEN","PARKSAUSTRALIA_CEMP_202404_CEN","M","Transit",1
"26","CEN","PARKSAUSTRALIA_CEMP_202404_CEN","M","Maneuver",0
"27","CEN","PARKSAUSTRALIA_CEMP_202404_CEN","M","Total",1
"28","CEN","PARKSAUSTRALIA_CEMP_202404_CEN","Sa","Transit",3
"29","CEN","PARKSAUSTRALIA_CEMP_202404_CEN","Sa","Maneuver",0
"30","CEN","PARKSAUSTRALIA_CEMP_202404_CEN","Sa","Total",3
"31","CEN","PARKSAUSTRALIA_CEMP_202404_CEN","S","Transit",4
"32","CEN","PARKSAUSTRALIA_CEMP_202404_CEN","S","Maneuver",0
"33","CEN","PARKSAUSTRALIA_CEMP_202404_CEN","S","Total",4
"34","CEN","PARKSAUSTRALIA_CEMP_202404_CEN","R","Transit",0
"35","CEN","PARKSAUSTRALIA_CEMP_202404_CEN","R","Maneuver",0
"36","CEN","PARKSAUSTRALIA_CEMP_202404_CEN","R","Total",0
"37","CEN","PARKSAUSTRALIA_CEMP_202404_CEN","T","Transit",1
"38","CEN","PARKSAUSTRALIA_CEMP_202404_CEN","T","Maneuver",0
"39","CEN","PARKSAUSTRALIA_CEMP_202404_CEN","T","Total",1
"40","CEN","PARKSAUSTRALIA_CEMP_202404_CEN","W","Transit",1
"41","CEN","PARKSAUSTRALIA_CEMP_202404_CEN","W","Maneuver",0
"42","CEN","PARKSAUSTRALIA_CEMP_202404_CEN","W","Total",1
