"","Site_ID","Dep","Weekday","Behav","N_ves"
"1","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","F","Transit",1
"2","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","F","Maneuver",0
"3","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","F","Total",1
"4","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","M","Transit",3
"5","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","M","Maneuver",0
"6","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","M","Total",3
"7","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","Sa","Transit",1
"8","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","Sa","Maneuver",0
"9","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","Sa","Total",1
"10","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","S","Transit",0
"11","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","S","Maneuver",0
"12","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","S","Total",0
"13","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","R","Transit",2
"14","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","R","Maneuver",0
"15","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","R","Total",2
"16","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","T","Transit",3
"17","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","T","Maneuver",0
"18","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","T","Total",3
"19","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","W","Transit",2
"20","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","W","Maneuver",0
"21","CEC","PARKSAUSTRALIA_CEMP_202404_CEC","W","Total",2
