"","Selection","View","Channel","Begin_Time","End_Time","Low_Freq","High_Freq","Begin_Date","Begin_Clock","End_Clock","Delta_Time_s","Behavior","Partial","Notes","Begin_file_date","Dep","Site_ID","DeltaHours","Hr_time","Hr_local","Begin_Hour_loc","Begin_Date_loc","Weekday"
"1",1,"Spectrogram 1",1,17644.304020101,24803.698492462,99,1004.1,2024-05-01,10:50:34,12:49:51,7159.3945,"Transit",NA,"TB","2024/5/1","202404","CEC",1.98872069444444,2024-05-01 10:50:34,2024-05-01 21:50:34,21,2024-05-01,"Wednesday"
"2",1,"Spectrogram 1",1,75532.56281407,77731.615577889,17.3,21376.1,2024-05-14,02:53:01,03:29:40,2199.0528,"Transit",NA,NA,"2024/5/14","202404","CEC",0.610848,2024-05-14 02:53:01,2024-05-14 13:53:01,13,2024-05-14,"Tuesday"
"3",1,"Spectrogram 1",1,10890.304020101,14418.484924623,20.161,2281.106,2024-05-17,08:54:58,09:53:46,3528.1809,"Transit",NA,NA,"2024/5/17","202404","CEC",0.98005025,2024-05-17 08:54:58,2024-05-17 19:54:58,19,2024-05-17,"Friday"
"4",1,"Spectrogram 1",1,46359.022613065,51333.263824539,23,1083.5,2024-05-20,18:45:25,20:08:19,4974.2412,"Transit",NA,NA,"2024/5/20","202404","CEC",1.38173366666667,2024-05-20 18:45:25,2024-05-21 05:45:25,5,2024-05-21,"Tuesday"
"5",1,"Spectrogram 1",1,52730.22361809,55789.590452261,34.6,731.6,2024-05-26,20:30:28,21:21:27,3059.3668,"Transit",NA,NA,"2024/5/26","202404","CEC",0.849824111111111,2024-05-26 20:30:28,2024-05-27 07:30:28,7,2024-05-27,"Monday"
"6",2,"Spectrogram 1",1,70355.231155779,73320.188442211,28.8,24000,2024-05-27,01:24:11,02:13:36,2964.9573,"Transit",NA,NA,"2024/5/26","202404","CEC",0.82359925,2024-05-27 01:24:11,2024-05-27 12:24:11,12,2024-05-27,"Monday"
"7",1,"Spectrogram 1",1,78422.726130653,80439.291457286,86.4,731.6,2024-06-06,03:36:37,04:10:13,2016.5653,"Transit",NA,NA,"2024/6/6","202404","CEC",0.560157027777778,2024-06-06 03:36:37,2024-06-06 14:36:37,14,2024-06-06,"Thursday"
"8",1,"Spectrogram 1",1,61127.487437186,65426.864321608,301.9,694.4,2024-06-14,22:46:39,23:58:17,4299.3769,"Transit",NA,NA,"2024/6/14","202404","CEC",1.19427136111111,2024-06-14 22:46:39,2024-06-15 09:46:39,9,2024-06-15,"Saturday"
"9",1,"Spectrogram 1",1,66133.535175879,77085.110552764,77.8,2655.7,2024-06-20,00:09:03,03:11:35,10951.5754,"Transit",NA,"TB","2024/6/20","202404","CEC",3.04210427777778,2024-06-20 00:09:03,2024-06-20 11:09:03,11,2024-06-20,"Thursday"
"10",1,"Spectrogram 1",1,79903.725480842,86394.455979167,415.7,923.1,2024-06-24,03:57:47,05:45:57,6490.7305,"Transit","yes",NA,"2024/6/24","202404","CEC",1.80298069444444,2024-06-24 03:57:47,2024-06-24 14:57:47,14,2024-06-24,"Monday"
"11",1,"Spectrogram 1",1,80055.540201005,83783.891025126,22.2,541,2024-06-25,04:00:05,05:02:13,3728.3508,"Transit",NA,NA,"2024/6/25","202404","CEC",1.035653,2024-06-25 04:00:05,2024-06-25 15:00:05,15,2024-06-25,"Tuesday"
"12",1,"Spectrogram 1",1,26180.655778894,47248.150753769,74.1,481.8,2024-06-25,13:02:02,18:53:07,21067.495,"Transit",NA,"LTSA","2024/6/25","202404","CEC",5.85208194444444,2024-06-25 13:02:02,2024-06-26 00:02:02,0,2024-06-26,"Wednesday"
