"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Behavior" "Partial" "Notes" "Begin_file_date"
1 "Spectrogram 1" 1 77338.698492462 78229.201005025 40.3 950.5 "2024/5/4" "1:55:06.6985" "2:09:56.2010" 890.5025 "Transit" "" "LTSA" "2024/5/4"
2 "Spectrogram 1" 1 79565.804020101 80995.936484375 23.041 806.452 "2024/5/4" "2:32:13.8040" "2:56:03.9365" 1430.1325 "Transit" "y" "" "2024/5/4"
1 "Spectrogram 1" 1 0 415.469849246 27.2 559.4 "2024/5/4" "2:56:02.0000" "3:02:57.4698" 415.4698 "Transit" "y" "soundclips from previous" "2024/5/4"
2 "Spectrogram 1" 1 12155.585427136 14021.932171718 24.439 882.1 "2024/5/4" "6:18:37.5854" "6:49:43.9322" 1866.3467 "Transit" "" "LTSA" "2024/5/4"
3 "Spectrogram 1" 1 74061.587939698 80996.930869347 18.721 415.466 "2024/5/4" "23:30:17.5879" "1:25:53.9309" 6935.3429 "Transit" "" "" "2024/5/4"
1 "Spectrogram 1" 1 0 6807.414572864 24.4 524.2 "2024/5/5" "1:25:52.0000" "3:19:19.4146" 6807.4146 "Transit" "y" "soundclip in previous" "2024/5/5"
1 "Spectrogram 1" 1 82081.836683417 97193.96791206 22.7 1409.1 "2024/5/15" "0:12:08.8367" "4:24:00.9679" 15112.1312 "Transit" NA NA "2024/5/15"
1 "Spectrogram 1" 1 2.713567839 10083.346733668 28.8 950.5 "2024/5/15" "4:24:03.7136" "7:12:04.3467" 10080.6332 "Transit" "y" "soundclip from previous" "2024/5/15"
1 "Spectrogram 1" 1 29037.030150754 44274.188442211 23 1353.7 "2024/5/17" "9:27:36.0302" "13:41:32.1884" 15237.1583 "Transit" NA "LTSA" "2024/5/17"
1 "Spectrogram 1" 1 64124.811557789 66988.371859296 40.9 1165.6 "2024/5/26" "19:10:37.8116" "19:58:20.3719" 2863.5603 "Transit" NA NA "2024/5/26"
1 "Spectrogram 1" 1 72497.997487437 72997.746231156 40.7 570.2 "2024/6/22" "21:25:03.9975" "21:33:23.7462" 499.7487 "Transit" NA NA "2024/6/22"
2 "Spectrogram 1" 1 88368.158291457 91079.103015075 74.9 746 "2024/6/23" "1:49:32.1583" "2:34:43.1030" 2710.9447 "Transit" NA NA "2024/6/22"
1 "Spectrogram 1" 1 14.359296482 1905.297753219 17.6 1019.2 "2024/6/23" "4:16:52.3593" "4:48:23.2978" 1890.9385 "Transit" NA NA "2024/6/23"
1 "Spectrogram 1" 1 890.163316583 5368.952261307 20.2 881.3 "2024/6/25" "1:31:05.1633" "2:45:43.9523" 4478.7889 "Transit" NA NA "2024/6/25"
