"Selection" "View" "Channel" "Begin Time (s)" "End Time (s)" "Low Freq (Hz)" "High Freq (Hz)" "Begin Date" "Begin Clock Time" "End Clock Time" "Delta Time (s)" "Distance (m)" "FID_2" "Lat" "Long" "Segment"
1 "Spectrogram" 1 3692 3697 250 250 NA NA NA NA 244.617118517178 1 -30.59116236 156.1938111 "Inner"
2 "Spectrogram" 1 3695 3700 250 250 NA NA NA NA 249.962049987317 2 -30.59102993 156.1937163 "Inner"
4 "Spectrogram" 1 3701 3706 250 250 NA NA NA NA 257.157798899233 4 -30.59073145 156.1935925 "Inner"
6 "Spectrogram" 1 3710 3715 250 250 NA NA NA NA 259.841481867788 6 -30.59021847 156.1935879 "Inner"
8 "Spectrogram" 1 3724 3729 250 250 NA NA NA NA 293.650402394486 8 -30.58940275 156.1935169 "Inner"
10 "Spectrogram" 1 3730 3735 250 250 NA NA NA NA 308.021612115835 10 -30.58904987 156.1935765 "Inner"
12 "Spectrogram" 1 3738 3743 250 250 NA NA NA NA 307.354190378472 12 -30.58872256 156.1938745 "Inner"
14 "Spectrogram" 1 3743 3748 250 250 NA NA NA NA 297.661220180719 14 -30.58860077 156.1941536 "Inner"
16 "Spectrogram" 1 3769 3774 250 250 NA NA NA NA 264.312419759018 16 -30.58823213 156.1957096 "Inner"
18 "Spectrogram" 1 3792 3797 250 250 NA NA NA NA 252.302313278773 18 -30.58840781 156.1970983 "Inner"
19 "Spectrogram" 1 3796 3801 250 250 NA NA NA NA 245.618010752565 19 -30.5885348 156.197287 "Inner"
21 "Spectrogram" 1 3808 3813 250 250 NA NA NA NA 232.926960355655 21 -30.5889611 156.197833 "Inner"
23 "Spectrogram" 1 3831 3836 250 250 NA NA NA NA 281.222635348056 23 -30.58964322 156.1989978 "Inner"
25 "Spectrogram" 1 3842 3847 250 250 NA NA NA NA 286.315691740111 25 -30.59017464 156.1992176 "Inner"
27 "Spectrogram" 1 3859 3864 250 250 NA NA NA NA 311.662914511655 27 -30.59103655 156.1994709 "Inner"
29 "Spectrogram" 1 3867 3872 250 250 NA NA NA NA 306.572318894653 29 -30.59145011 156.1992961 "Inner"
31 "Spectrogram" 1 3885 3890 250 250 NA NA NA NA 277.981933895296 31 -30.59219023 156.1984761 "Inner"
33 "Spectrogram" 1 3896 3901 250 250 NA NA NA NA 254.348618078794 33 -30.59244412 156.1977918 "Inner"
35 "Spectrogram" 1 3908 3913 250 250 NA NA NA NA 245.616146202774 35 -30.59266691 156.1970834 "Inner"
37 "Spectrogram" 1 3918 3923 250 250 NA NA NA NA 271.069319728284 37 -30.59300344 156.1965046 "Inner"
38 "Spectrogram" 1 3933 3938 250 250 NA NA NA NA 321.950803036611 38 -30.59342145 156.1956492 "InnerMid"
39 "Spectrogram" 1 3936 3941 250 250 NA NA NA NA 336.342091765541 39 -30.5935243 156.1954841 "InnerMid"
40 "Spectrogram" 1 3940 3945 250 250 NA NA NA NA 357.447856948875 40 -30.5936916 156.1953476 "InnerMid"
41 "Spectrogram" 1 3944 3949 250 250 NA NA NA NA 378.615034231049 41 -30.59387944 156.195306 "InnerMid"
42 "Spectrogram" 1 3949 3954 250 250 NA NA NA NA 405.641477292703 42 -30.59413441 156.1953268 "InnerMid"
43 "Spectrogram" 1 3954 3959 250 250 NA NA NA NA 425.866076089469 43 -30.59434748 156.1954794 "InnerMid"
44 "Spectrogram" 1 3957 3962 250 250 NA NA NA NA 436.057015403948 44 -30.59445888 156.1956088 "InnerMid"
45 "Spectrogram" 1 3962 3967 250 250 NA NA NA NA 460.111328315264 45 -30.59469198 156.195738 "InnerMid"
46 "Spectrogram" 1 3966 3971 250 250 NA NA NA NA 484.844731912104 46 -30.59491636 156.1957378 "InnerMid"
47 "Spectrogram" 1 3975 3980 250 250 NA NA NA NA 538.042940405932 47 -30.59537318 156.1954876 "InnerMid"
48 "Spectrogram" 1 3981 3986 250 250 NA NA NA NA 559.243083755891 48 -30.59551743 156.1951463 "InnerMid"
49 "Spectrogram" 1 3983 3988 250 250 NA NA NA NA 562.877108316831 49 -30.59552363 156.1949953 "Mid"
53 "Spectrogram" 1 4017 4022 250 250 NA NA NA NA 585.940398732976 53 -30.59455686 156.1922602 "Mid"
57 "Spectrogram" 1 4039 4044 250 250 NA NA NA NA 541.588784814204 57 -30.59316195 156.1914826 "Mid"
61 "Spectrogram" 1 4066 4071 250 250 NA NA NA NA 499.581108073234 61 -30.59121047 156.1911115 "Mid"
65 "Spectrogram" 1 4085 4090 250 250 NA NA NA NA 489.325896255311 65 -30.58979661 156.1912434 "Mid"
69 "Spectrogram" 1 4110 4115 250 250 NA NA NA NA 538.269947820724 69 -30.58799853 156.1915044 "Mid"
73 "Spectrogram" 1 4123 4128 250 250 NA NA NA NA 556.481448002533 73 -30.58716763 156.191998 "Mid"
77 "Spectrogram" 1 4151 4156 250 250 NA NA NA NA 551.161936228551 77 -30.58604244 156.1938855 "Mid"
81 "Spectrogram" 1 4163 4168 250 250 NA NA NA NA 531.263998530462 81 -30.58593624 156.1948418 "Mid"
85 "Spectrogram" 1 4179 4184 250 250 NA NA NA NA 479.590397254872 85 -30.58624403 156.19608 "Mid"
89 "Spectrogram" 1 4195 4200 250 250 NA NA NA NA 455.652151047005 89 -30.58656011 156.1973248 "Mid"
93 "Spectrogram" 1 4217 4222 250 250 NA NA NA NA 418.230364581952 93 -30.58745437 156.1987308 "Mid"
97 "Spectrogram" 1 4229 4234 250 250 NA NA NA NA 439.428510741426 97 -30.58784002 156.199592 "Mid"
101 "Spectrogram" 1 4248 4253 250 250 NA NA NA NA 485.554364952974 101 -30.58861577 156.2007994 "Mid"
105 "Spectrogram" 1 4261 4266 250 250 NA NA NA NA 542.173985876978 105 -30.58913318 156.2016715 "Mid"
109 "Spectrogram" 1 4284 4289 250 250 NA NA NA NA 601.53581225091 109 -30.59059566 156.2025388 "Mid"
113 "Spectrogram" 1 4307 4312 250 250 NA NA NA NA 603.109911883459 113 -30.59227497 156.2022374 "Mid"
117 "Spectrogram" 1 4335 4340 250 250 NA NA NA NA 544.693643984975 117 -30.59371079 156.2006315 "Mid"
121 "Spectrogram" 1 4371 4376 250 250 NA NA NA NA 464.145993901838 121 -30.59452778 156.1978352 "Mid"
126 "Spectrogram" 1 4401 4406 250 250 NA NA NA NA 469.581360927836 126 -30.59472718 156.1953465 "Mid"
127 "Spectrogram" 1 4407 4412 250 250 NA NA NA NA 472.394011108115 127 -30.59465292 156.1948693 "MidOuter"
128 "Spectrogram" 1 4410 4415 250 250 NA NA NA NA 477.85283911217 128 -30.59464118 156.1946405 "MidOuter"
129 "Spectrogram" 1 4413 4418 250 250 NA NA NA NA 489.503394701834 129 -30.594681 156.1944136 "MidOuter"
130 "Spectrogram" 1 4421 4426 250 250 NA NA NA NA 543.678971223885 130 -30.59506615 156.1940114 "MidOuter"
131 "Spectrogram" 1 4422 4427 250 250 NA NA NA NA 551.107678062741 131 -30.59513018 156.1939874 "MidOuter"
132 "Spectrogram" 1 4427 4432 250 250 NA NA NA NA 587.189470206661 132 -30.59547862 156.1939756 "MidOuter"
133 "Spectrogram" 1 4429 4434 250 250 NA NA NA NA 599.58325635805 133 -30.59561357 156.1940189 "MidOuter"
134 "Spectrogram" 1 4434 4439 250 250 NA NA NA NA 622.649199325264 134 -30.5959061 156.1942522 "MidOuter"
135 "Spectrogram" 1 4442 4447 250 250 NA NA NA NA 646.279605207364 135 -30.5962573 156.1948029 "MidOuter"
136 "Spectrogram" 1 4444 4449 250 250 NA NA NA NA 653.501014445447 136 -30.59634799 156.1949351 "MidOuter"
137 "Spectrogram" 1 4447 4452 250 250 NA NA NA NA 667.538263447941 137 -30.59650498 156.195113 "MidOuter"
138 "Spectrogram" 1 4450 4455 250 250 NA NA NA NA 683.4545391253 138 -30.59667086 156.1952668 "MidOuter"
139 "Spectrogram" 1 4454 4459 250 250 NA NA NA NA 706.724753752928 139 -30.59690329 156.1954584 "MidOuter"
140 "Spectrogram" 1 4459 4464 250 250 NA NA NA NA 740.787501171589 140 -30.59722583 156.1956238 "MidOuter"
141 "Spectrogram" 1 4462 4467 250 250 NA NA NA NA 762.523112442462 141 -30.59742465 156.1956544 "MidOuter"
142 "Spectrogram" 1 4469 4474 250 250 NA NA NA NA 807.977392597402 142 -30.59781734 156.1954105 "Outer"
146 "Spectrogram" 1 4480 4485 250 250 NA NA NA NA 848.087251555527 146 -30.5980698 156.1945412 "Outer"
151 "Spectrogram" 1 4532 4537 250 250 NA NA NA NA 864.04773584804 151 -30.59645578 156.1903653 "Outer"
155 "Spectrogram" 1 4576 4581 250 250 NA NA NA NA 928.124923629484 155 -30.59426618 156.1875857 "Outer"
160 "Spectrogram" 1 4622 4627 250 250 NA NA NA NA 973.649287757819 160 -30.59124333 156.1861454 "Outer"
165 "Spectrogram" 1 4663 4668 250 250 NA NA NA NA 987.739690594505 165 -30.58833229 156.1862977 "Outer"
169 "Spectrogram" 1 4701 4706 250 250 NA NA NA NA 940.716317614065 169 -30.58609047 156.1879348 "Outer"
174 "Spectrogram" 1 4734 4739 250 250 NA NA NA NA 837.961196740116 174 -30.58502748 156.1903229 "Outer"
179 "Spectrogram" 1 4769 4774 250 250 NA NA NA NA 859.967728585596 179 -30.58351161 156.1925406 "Outer"
183 "Spectrogram" 1 4815 4820 250 250 NA NA NA NA 900.512860245853 183 -30.58244593 156.1960733 "Outer"
188 "Spectrogram" 1 4854 4859 250 250 NA NA NA NA 899.322193996904 188 -30.58282295 156.1990591 "Outer"
192 "Spectrogram" 1 4869 4874 250 250 NA NA NA NA 868.361951746398 192 -30.58344481 156.200035 "Outer"
197 "Spectrogram" 1 4923 4928 250 250 NA NA NA NA 827.513964832578 197 -30.58607991 156.2031619 "Outer"
202 "Spectrogram" 1 4953 4958 250 250 NA NA NA NA 882.285230325365 202 -30.58755227 156.2047804 "Outer"
206 "Spectrogram" 1 4989 4994 250 250 NA NA NA NA 957.755735116216 206 -30.58971698 156.2062045 "Outer"
211 "Spectrogram" 1 5018 5023 250 250 NA NA NA NA 1036.66502927199 211 -30.59164004 156.2070044 "Outer"
216 "Spectrogram" 1 5043 5048 250 250 NA NA NA NA 1045.07109757471 216 -30.59337636 156.2066684 "Outer"
220 "Spectrogram" 1 5102 5107 250 250 NA NA NA NA 864.416431448975 220 -30.59581834 156.2029294 "Outer"
225 "Spectrogram" 1 5144 5149 250 250 NA NA NA NA 825.78276266434 225 -30.59730638 156.1999341 "Outer"
230 "Spectrogram" 1 5192 5197 250 250 NA NA NA NA 780.392825088981 230 -30.59760452 156.1960848 "Outer"
295 "Spectrogram" 1 5661 5666 250 250 NA NA NA NA 951.068277607772 295 -30.59059993 156.1863508 "Transit"
296 "Spectrogram" 1 5666 5671 250 250 NA NA NA NA 943.303275848808 296 -30.59084955 156.1864371 "Transit"
298 "Spectrogram" 1 5676 5681 250 250 NA NA NA NA 920.473312330814 298 -30.59128557 156.1867057 "Transit"
299 "Spectrogram" 1 5686 5691 250 250 NA NA NA NA 923.969299289455 299 -30.59169461 156.1867218 "Transit"
301 "Spectrogram" 1 5692 5697 250 250 NA NA NA NA 918.773432943966 301 -30.59195403 156.1868225 "Transit"
302 "Spectrogram" 1 5693 5698 250 250 NA NA NA NA 916.221285400756 302 -30.59199611 156.1868579 "Transit"
304 "Spectrogram" 1 5699 5704 250 250 NA NA NA NA 895.478534080983 304 -30.59222803 156.1871298 "Transit"
305 "Spectrogram" 1 5700 5705 250 250 NA NA NA NA 890.69048273408 305 -30.59225435 156.1871873 "Transit"
307 "Spectrogram" 1 5708 5713 250 250 NA NA NA NA 842.060763837984 307 -30.59231839 156.1877238 "Transit"
308 "Spectrogram" 1 5712 5717 250 250 NA NA NA NA 815.942897982123 308 -30.59223725 156.1879815 "Transit"
310 "Spectrogram" 1 5716 5721 250 250 NA NA NA NA 791.056139106405 310 -30.59209518 156.1882104 "Transit"
311 "Spectrogram" 1 5719 5724 250 250 NA NA NA NA 773.779701913833 311 -30.59194171 156.1883572 "Transit"
313 "Spectrogram" 1 5723 5728 250 250 NA NA NA NA 754.938441216181 313 -30.59170442 156.1885062 "Transit"
314 "Spectrogram" 1 5726 5731 250 250 NA NA NA NA 744.829247819509 314 -30.59152387 156.1885802 "Transit"
316 "Spectrogram" 1 5735 5740 250 250 NA NA NA NA 746.294695370143 316 -30.5909503 156.1884984 "Transit"
317 "Spectrogram" 1 5737 5742 250 250 NA NA NA NA 753.662372916576 317 -30.59084427 156.1884155 "Transit"
319 "Spectrogram" 1 5748 5753 250 250 NA NA NA NA 846.495681475981 319 -30.59049021 156.1874415 "Transit"
320 "Spectrogram" 1 5761 5766 250 250 NA NA NA NA 965.771759089526 320 -30.59024085 156.1862045 "Transit"
322 "Spectrogram" 1 5772 5777 250 250 NA NA NA NA 1036.12473753469 322 -30.5899821 156.1854851 "Transit"
324 "Spectrogram" 1 5783 5788 250 250 NA NA NA NA 1030.97818562905 324 -30.58938229 156.1856052 "Transit"
231 "Spectrogram" 1 5201 5206 250 250 NA NA NA NA 744.935537984603 231 -30.59725433 156.1955084 "X1"
232 "Spectrogram" 1 5203 5208 250 250 NA NA NA NA 732.035003428891 232 -30.5971322 156.1954505 "X1"
234 "Spectrogram" 1 5209 5214 250 250 NA NA NA NA 682.347999877332 234 -30.59668327 156.1954711 "X1"
