"PeakFreq","PeakLev","RMS","Filename","Distance","Calibration","FreqMin","FreqMax"
40,107.952730553172,126.611807474147,"8035.240429192700_sel01_244.6171185.wav",244.6171185,-176.6,40,1000
48,106.66873406519,126.653661607107,"8035.240429192700_sel02_249.96205.wav",249.96205,-176.6,40,1000
42,107.706058187919,126.939104730731,"8035.240429192700_sel03_257.1577989.wav",257.1577989,-176.6,40,1000
40,106.503908615018,125.685772201354,"8035.240429192700_sel04_259.8414819.wav",259.8414819,-176.6,40,1000
42,108.962950062893,128.157532462194,"8035.240429192700_sel05_293.6504024.wav",293.6504024,-176.6,40,1000
40,107.563724436956,126.492230611079,"8035.240429192700_sel06_308.0216121.wav",308.0216121,-176.6,40,1000
40,107.512787310515,126.284093650598,"8035.240429192700_sel07_307.3541904.wav",307.3541904,-176.6,40,1000
40,109.962663164331,127.037681749187,"8035.240429192700_sel08_297.6612202.wav",297.6612202,-176.6,40,1000
42,106.865129828115,126.475362062363,"8035.240429192700_sel09_264.3124198.wav",264.3124198,-176.6,40,1000
40,108.693365918846,126.829604105592,"8035.240429192700_sel10_252.3023133.wav",252.3023133,-176.6,40,1000
117,107.084316970553,121.275569920059,"8035.240429192700_sel100_208.8470187.wav",208.8470187,-176.6,40,1000
117,106.537230113416,119.305205460967,"8035.240429192700_sel101_374.5082888.wav",374.5082888,-176.6,40,1000
216,97.2512960251024,115.724480675788,"8035.240429192700_sel102_580.4459528.wav",580.4459528,-176.6,40,1000
156,94.8938849694511,114.37627349534,"8035.240429192700_sel103_672.7076591.wav",672.7076591,-176.6,40,1000
117,92.1170847809772,111.005751551736,"8035.240429192700_sel104_925.5376512.wav",925.5376512,-176.6,40,1000
152,88.472948065765,108.882790245159,"8035.240429192700_sel105_989.695816.wav",989.695816,-176.6,40,1000
151,94.2986809944271,110.37337510793,"8035.240429192700_sel106_1036.332171.wav",1036.332171,-176.6,40,1000
118,94.9346206919746,109.754601200483,"8035.240429192700_sel107_1130.514205.wav",1130.514205,-176.6,40,1000
162,93.3415752034841,109.365486168062,"8035.240429192700_sel108_1221.584731.wav",1221.584731,-176.6,40,1000
152,89.0682350079059,108.774588032912,"8035.240429192700_sel109_1280.803617.wav",1280.803617,-176.6,40,1000
43,107.892097731877,127.025010490244,"8035.240429192700_sel11_245.6180108.wav",245.6180108,-176.6,40,1000
172,86.6432076755249,108.599277114529,"8035.240429192700_sel110_1288.883438.wav",1288.883438,-176.6,40,1000
125,91.6486750659052,109.742053199056,"8035.240429192700_sel111_1260.329004.wav",1260.329004,-176.6,40,1000
126,94.7763193160443,110.47638736964,"8035.240429192700_sel112_1239.745257.wav",1239.745257,-176.6,40,1000
56,90.4246177162341,111.941878849147,"8035.240429192700_sel113_1201.860805.wav",1201.860805,-176.6,40,1000
57,95.0982445017111,111.161632316779,"8035.240429192700_sel114_1152.607605.wav",1152.607605,-176.6,40,1000
126,92.2140369174415,111.086057915745,"8035.240429192700_sel115_1133.197189.wav",1133.197189,-176.6,40,1000
57,94.1308364455094,112.584254310742,"8035.240429192700_sel116_1043.774847.wav",1043.774847,-176.6,40,1000
172,94.0971588771883,115.279311210616,"8035.240429192700_sel117_928.4249214.wav",928.4249214,-176.6,40,1000
57,94.2701187356337,115.73679340283,"8035.240429192700_sel118_814.8076572.wav",814.8076572,-176.6,40,1000
57,94.9352669231086,116.143449003513,"8035.240429192700_sel119_793.6286461.wav",793.6286461,-176.6,40,1000
42,108.324033972172,128.114044373376,"8035.240429192700_sel12_232.9269604.wav",232.9269604,-176.6,40,1000
61,95.371729823078,116.002543210528,"8035.240429192700_sel120_739.1725735.wav",739.1725735,-176.6,40,1000
