"","Site_ID","Dep","Begin_Date_loc","Behav","N_ves"
"1","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-11-27,"Transit",0
"2","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-11-27,"Maneuver",0
"3","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-11-27,"Total",0
"4","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-11-28,"Transit",0
"5","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-11-28,"Maneuver",0
"6","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-11-28,"Total",0
"7","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-11-29,"Transit",0
"8","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-11-29,"Maneuver",0
"9","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-11-29,"Total",0
"10","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-11-30,"Transit",0
"11","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-11-30,"Maneuver",0
"12","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-11-30,"Total",0
"13","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-01,"Transit",0
"14","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-01,"Maneuver",0
"15","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-01,"Total",0
"16","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-02,"Transit",0
"17","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-02,"Maneuver",0
"18","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-02,"Total",0
"19","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-03,"Transit",1
"20","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-03,"Maneuver",0
"21","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-03,"Total",1
"22","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-04,"Transit",1
"23","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-04,"Maneuver",0
"24","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-04,"Total",1
"25","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-05,"Transit",0
"26","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-05,"Maneuver",0
"27","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-05,"Total",0
"28","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-06,"Transit",0
"29","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-06,"Maneuver",0
"30","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-06,"Total",0
"31","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-07,"Transit",0
"32","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-07,"Maneuver",0
"33","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-07,"Total",0
"34","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-08,"Transit",0
"35","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-08,"Maneuver",0
"36","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-08,"Total",0
"37","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-09,"Transit",0
"38","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-09,"Maneuver",0
"39","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-09,"Total",0
"40","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-10,"Transit",0
"41","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-10,"Maneuver",0
"42","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-10,"Total",0
"43","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-11,"Transit",0
"44","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-11,"Maneuver",0
"45","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-11,"Total",0
"46","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-12,"Transit",0
"47","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-12,"Maneuver",0
"48","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-12,"Total",0
"49","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-13,"Transit",0
"50","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-13,"Maneuver",0
"51","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-13,"Total",0
"52","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-14,"Transit",1
"53","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-14,"Maneuver",0
"54","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-14,"Total",1
"55","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-15,"Transit",0
"56","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-15,"Maneuver",0
"57","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-15,"Total",0
"58","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-16,"Transit",0
"59","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-16,"Maneuver",0
"60","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-16,"Total",0
"61","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-17,"Transit",0
"62","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-17,"Maneuver",0
"63","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-17,"Total",0
"64","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-18,"Transit",0
"65","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-18,"Maneuver",0
"66","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-18,"Total",0
"67","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-19,"Transit",0
"68","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-19,"Maneuver",0
"69","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-19,"Total",0
"70","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-20,"Transit",0
"71","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-20,"Maneuver",0
"72","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-20,"Total",0
"73","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-21,"Transit",0
"74","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-21,"Maneuver",0
"75","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-21,"Total",0
"76","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-22,"Transit",0
"77","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-22,"Maneuver",0
"78","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-22,"Total",0
"79","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-23,"Transit",0
"80","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-23,"Maneuver",0
"81","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-23,"Total",0
"82","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-24,"Transit",0
"83","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-24,"Maneuver",0
"84","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-24,"Total",0
"85","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-25,"Transit",0
"86","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-25,"Maneuver",0
"87","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-25,"Total",0
"88","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-26,"Transit",0
"89","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-26,"Maneuver",0
"90","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-26,"Total",0
"91","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-27,"Transit",0
"92","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-27,"Maneuver",0
"93","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-27,"Total",0
"94","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-28,"Transit",0
"95","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-28,"Maneuver",0
"96","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-28,"Total",0
"97","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-29,"Transit",0
"98","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-29,"Maneuver",1
"99","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2024-12-29,"Total",1
