"","Site_ID","Dep","Begin_Hour_loc","Behav","N_ves"
"1","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",0,"Transit",1
"2","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",0,"Maneuver",0
"3","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",0,"Total",1
"4","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",1,"Transit",0
"5","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",1,"Maneuver",0
"6","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",1,"Total",0
"7","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2,"Transit",0
"8","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2,"Maneuver",0
"9","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",2,"Total",0
"10","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",3,"Transit",0
"11","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",3,"Maneuver",0
"12","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",3,"Total",0
"13","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",4,"Transit",0
"14","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",4,"Maneuver",1
"15","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",4,"Total",1
"16","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",5,"Transit",0
"17","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",5,"Maneuver",2
"18","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",5,"Total",2
"19","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",6,"Transit",0
"20","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",6,"Maneuver",0
"21","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",6,"Total",0
"22","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",7,"Transit",0
"23","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",7,"Maneuver",1
"24","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",7,"Total",1
"25","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",8,"Transit",0
"26","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",8,"Maneuver",3
"27","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",8,"Total",3
"28","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",9,"Transit",0
"29","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",9,"Maneuver",2
"30","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",9,"Total",2
"31","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",10,"Transit",0
"32","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",10,"Maneuver",1
"33","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",10,"Total",1
"34","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",11,"Transit",0
"35","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",11,"Maneuver",2
"36","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",11,"Total",2
"37","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",12,"Transit",0
"38","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",12,"Maneuver",1
"39","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",12,"Total",1
"40","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",13,"Transit",0
"41","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",13,"Maneuver",0
"42","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",13,"Total",0
"43","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",14,"Transit",0
"44","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",14,"Maneuver",0
"45","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",14,"Total",0
"46","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",15,"Transit",0
"47","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",15,"Maneuver",0
"48","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",15,"Total",0
"49","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",16,"Transit",0
"50","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",16,"Maneuver",0
"51","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",16,"Total",0
"52","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",17,"Transit",0
"53","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",17,"Maneuver",0
"54","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",17,"Total",0
"55","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",18,"Transit",2
"56","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",18,"Maneuver",0
"57","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",18,"Total",2
"58","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",19,"Transit",0
"59","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",19,"Maneuver",1
"60","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",19,"Total",1
"61","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",20,"Transit",0
"62","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",20,"Maneuver",0
"63","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",20,"Total",0
"64","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",21,"Transit",0
"65","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",21,"Maneuver",0
"66","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",21,"Total",0
"67","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",22,"Transit",0
"68","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",22,"Maneuver",0
"69","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",22,"Total",0
"70","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",23,"Transit",0
"71","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",23,"Maneuver",0
"72","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",23,"Total",0
"73","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",0,"Transit",3
"74","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",0,"Maneuver",0
"75","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",0,"Total",3
"76","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",1,"Transit",2
"77","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",1,"Maneuver",0
"78","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",1,"Total",2
"79","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",2,"Transit",0
"80","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",2,"Maneuver",0
"81","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",2,"Total",0
"82","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",3,"Transit",2
"83","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",3,"Maneuver",0
"84","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",3,"Total",2
"85","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",4,"Transit",0
"86","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",4,"Maneuver",0
"87","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",4,"Total",0
"88","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",5,"Transit",0
"89","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",5,"Maneuver",0
"90","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",5,"Total",0
"91","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",6,"Transit",0
"92","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",6,"Maneuver",2
"93","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",6,"Total",2
"94","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",7,"Transit",0
"95","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",7,"Maneuver",2
"96","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",7,"Total",2
"97","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",8,"Transit",1
"98","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",8,"Maneuver",2
"99","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",8,"Total",3
"100","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",9,"Transit",2
"101","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",9,"Maneuver",5
"102","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",9,"Total",7
"103","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",10,"Transit",1
"104","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",10,"Maneuver",4
"105","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",10,"Total",5
"106","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",11,"Transit",0
"107","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",11,"Maneuver",2
"108","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",11,"Total",2
"109","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",12,"Transit",1
"110","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",12,"Maneuver",4
