"","Selection","View","Channel","Begin_Time","End_Time","Low_Freq","High_Freq","Begin_Date","Begin_Clock","End_Clock","Delta_Time_s","Behavior","Partial","Notes","Begin_file_date","Dep","Site_ID","DeltaHours","Hr_time","Hr_local","Begin_Hour_loc","Begin_Date_loc","Weekday"
"1",1,"Spectrogram 1",1,24632.615577889,28940.133165829,14.9,6623.5,2024-12-03,10:44:40,11:56:27,4307.5176,"Transit",NA,NA,"2024/12/3","202411","BRE",1.19653266666667,2024-12-03 10:44:40,2024-12-03 18:44:40,18,2024-12-03,"Tuesday"
"2",2,"Spectrogram 1",1,45501.967336683,49833.025125628,13.2,16286.9,2024-12-03,16:32:30,17:44:41,4331.0578,"Transit",NA,NA,"2024/12/3","202411","BRE",1.20307161111111,2024-12-03 16:32:30,2024-12-04 00:32:30,0,2024-12-04,"Wednesday"
"3",1,"Spectrogram 1",1,22458.610552764,25417.688442211,8.1,24000,2024-12-14,10:07:34,10:56:53,2959.0779,"Transit",NA,NA,"2024/12/14","202411","BRE",0.821966083333333,2024-12-14 10:07:34,2024-12-14 18:07:34,18,2024-12-14,"Saturday"
"4",1,"Spectrogram 1",1,58929.301507538,64702.190954774,28.7,22764.2,2024-12-28,20:47:49,22:24:02,5772.8894,"Maneuver",NA,NA,"2024/12/28","202411","BRE",1.60358038888889,2024-12-28 20:47:49,2024-12-29 04:47:49,4,2024-12-29,"Sunday"
"5",1,"Spectrogram 1",1,60608.924623116,65071.680904523,18.6,15043.9,2025-01-03,21:15:25,22:29:48,4462.7563,"Maneuver",NA,NA,"2025/1/3","202411","BRE",1.23965452777778,2025-01-03 21:15:25,2025-01-04 05:15:25,5,2025-01-04,"Saturday"
"6",2,"Spectrogram 1",1,76183.826633166,79742.874371859,24.9,8028,2025-01-04,01:35:00,02:34:19,3559.0477,"Maneuver",NA,NA,"2025/1/3","202411","BRE",0.988624361111111,2025-01-04 01:35:00,2025-01-04 09:35:00,9,2025-01-04,"Saturday"
"7",1,"Spectrogram 1",1,23878.748743719,33016.771356784,19.6,10691.6,2025-01-04,11:03:08,13:35:26,9138.0226,"Maneuver",NA,NA,"2025/1/4","202411","BRE",2.53833961111111,2025-01-04 11:03:08,2025-01-04 19:03:08,19,2025-01-04,"Saturday"
"8",1,"Spectrogram 1",1,60430.138190955,64940.947236181,67.9,7817.5,2025-01-08,21:12:03,22:27:14,4510.809,"Maneuver",NA,NA,"2025/1/8","202411","BRE",1.2530025,2025-01-08 21:12:03,2025-01-09 05:12:03,5,2025-01-09,"Thursday"
"9",2,"Spectrogram 1",1,68127.91959799,69130.447236181,15.6,22909.7,2025-01-08,23:20:21,23:37:03,1002.5276,"Maneuver",NA,"CPA","2025/1/8","202411","BRE",0.278479888888889,2025-01-08 23:20:21,2025-01-09 07:20:21,7,2025-01-09,"Thursday"
"10",3,"Spectrogram 1",1,70753.72361809,71710.120603015,17,9256.2,2025-01-09,00:04:06,00:20:03,956.397,"Maneuver",NA,NA,"2025/1/8","202411","BRE",0.265665833333333,2025-01-09 00:04:06,2025-01-09 08:04:06,8,2025-01-09,"Thursday"
"11",4,"Spectrogram 1",1,72502.575376884,73626.060301508,132.3,794,2025-01-09,00:33:15,00:51:59,1123.4849,"Maneuver",NA,"LTSA","2025/1/8","202411","BRE",0.312079138888889,2025-01-09 00:33:15,2025-01-09 08:33:15,8,2025-01-09,"Thursday"
"12",5,"Spectrogram 1",1,73857.923381805,76117.104286327,57.6,7907.9,2025-01-09,00:55:51,01:33:30,2259.1809,"Maneuver",NA,"LTSA","2025/1/8","202411","BRE",0.62755025,2025-01-09 00:55:51,2025-01-09 08:55:51,8,2025-01-09,"Thursday"
"13",6,"Spectrogram 1",1,76711.374371859,80673.036442839,27.1,8577.6,2025-01-09,01:43:24,02:49:26,3961.6621,"Maneuver",NA,"LTSA","2025/1/8","202411","BRE",1.10046169444444,2025-01-09 01:43:24,2025-01-09 09:43:24,9,2025-01-09,"Thursday"
"14",7,"Spectrogram 1",1,81143.207297111,81282.141970477,24,5758.2,2025-01-09,02:57:16,02:59:35,138.9347,"Maneuver",NA,"LTSA","2025/1/8","202411","BRE",0.0385929722222222,2025-01-09 02:57:16,2025-01-09 10:57:16,10,2025-01-09,"Thursday"
"15",8,"Spectrogram 1",1,81622.920876989,84433.114344326,23.8,4318.6,2025-01-09,03:05:16,03:52:06,2810.1935,"Maneuver",NA,"LTSA","2025/1/8","202411","BRE",0.780609305555556,2025-01-09 03:05:16,2025-01-09 11:05:16,11,2025-01-09,"Thursday"
"16",9,"Spectrogram 1",1,84703.914572864,85431.512562814,19.2,8496.1,2025-01-09,03:56:36,04:08:44,727.598,"Maneuver",NA,NA,"2025/1/8","202411","BRE",0.202110555555556,2025-01-09 03:56:36,2025-01-09 11:56:36,11,2025-01-09,"Thursday"
"17",1,"Spectrogram 1",1,0,5023.492462312,16.9,16949.8,2025-01-09,04:24:50,05:48:33,5023.4925,"Maneuver",NA,NA,"2025/1/9","202411","BRE",1.39541458333333,2025-01-09 04:24:50,2025-01-09 12:24:50,12,2025-01-09,"Thursday"
"18",1,"Spectrogram 1",1,38762.14824,68345.57035,265,650.9,2024-12-06,14:42:13,22:55:17,29583.4221,"Transit",NA,NA,"12/6/2024","202411","BRW",8.21761725,2024-12-06 14:42:13,2024-12-06 22:42:13,22,2024-12-06,"Friday"
"19",1,"Spectrogram 1",1,44143.41709,45696.16583,16.3,2150.6,2024-12-12,16:11:27,16:37:20,1552.7487,"Transit",NA,NA,"12/12/2024","202411","BRW",0.431319083333333,2024-12-12 16:11:27,2024-12-13 00:11:27,0,2024-12-13,"Friday"
"20",2,"Spectrogram 1",1,78103.8794,84917.96482,28.5,22288.5,2024-12-13,01:37:28,03:31:02,6814.0854,"Maneuver",NA,NA,"12/12/2024","202411","BRW",1.8928015,2024-12-13 01:37:28,2024-12-13 09:37:28,9,2024-12-13,"Friday"
"21",1,"Spectrogram 1",1,15554.73618,16812.53518,51.2,5560.3,2024-12-13,08:14:54,08:35:52,1257.799,"Transit",NA,NA,"12/13/2024","202411","BRW",0.349388611111111,2024-12-13 08:14:54,2024-12-13 16:14:54,16,2024-12-13,"Friday"
"22",2,"Spectrogram 1",1,26111.30653,27651.61809,45.7,6961.2,2024-12-13,11:10:50,11:36:32,1540.3116,"Maneuver",NA,NA,"12/13/2024","202411","BRW",0.427864333333333,2024-12-13 11:10:50,2024-12-13 19:10:50,19,2024-12-13,"Friday"
"23",3,"Spectrogram 1",1,28567.1809,31137.83417,35,2747.8,2024-12-13,11:51:46,12:34:38,2570.6533,"Maneuver",NA,NA,"12/13/2024","202411","BRW",0.714070361111111,2024-12-13 11:51:46,2024-12-13 19:51:46,19,2024-12-13,"Friday"
"24",4,"Spectrogram 1",1,78400.00251,79325.81658,773.4,1645.9,2024-12-14,01:42:19,01:57:46,925.8141,"Transit",NA,NA,"12/13/2024","202411","BRW",0.257170583333333,2024-12-14 01:42:19,2024-12-14 09:42:19,9,2024-12-14,"Saturday"
"25",5,"Spectrogram 1",1,79648.57286,82470.07286,19,1147.6,2024-12-14,02:03:08,02:50:09,2821.5,"Transit",NA,NA,"12/13/2024","202411","BRW",0.78375,2024-12-14 02:03:08,2024-12-14 10:03:08,10,2024-12-14,"Saturday"
"26",1,"Spectrogram 1",1,57754.78392,66227.27387,13.1,743.1,2024-12-16,19:57:59,22:19:11,8472.4899,"Transit",NA,NA,"12/16/2024","202411","BRW",2.35346941666667,2024-12-16 19:57:59,2024-12-17 03:57:59,3,2024-12-17,"Tuesday"
"27",1,"Spectrogram 1",1,79381.33417,80167.04774,39.1,17933.7,2024-12-29,00:10:40,00:23:46,785.7136,"Maneuver",NA,NA,"12/29/2024","202411","BRW",0.218253777777778,2024-12-29 00:10:40,2024-12-29 08:10:40,8,2024-12-29,"Sunday"
