Filename,Date,Selection,RMS,PeakFreq,PeakLev,Verified,used,ins_sm,out_sm,ins_med,out_med,ins_lg,out_lg,pins_sm,pins_med,pins_lg,pins_ovrll,begin_file_date,seln_num,View,Channel,Begin_Time,End_Time,Low_Freq,High_Freq,Begin_Date,Begin_Clock,End_Clock,Delta_Time_s,Behavior,Notes,Dep,Site_ID,DeltaHours,Hr_time,Hr_local,Begin_Hour_loc,Begin_Date_loc,Weekday
805830683.190115005940_sel13_S11.wav,190115000000,S11,111.1453008,321,91.51641285,1,1,49,10,0,89,0,0,0.8305084745762712,0,NA,0.3310810810810811,2019-01-15,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805830683.190115005940_sel04_S4.wav,190115000000,S4,113.0109705,286,90.29392907,1,1,48,15,0,84,0,0,0.7619047619047619,0,NA,0.32653061224489793,2019-01-15,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805830683.181222005940_sel02_S1.wav,181222000000,S1,112.8352819,1144,93.2322532,1,1,50,4,0,95,0,0,0.9259259259259259,0,NA,0.33557046979865773,2018-12-22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805830683.181227005940_sel01_S1.wav,181227000000,S1,112.9995578,69,98.43544792,1,1,38,0,15,72,0,27,1,0.1724137931034483,0,0.424,2018-12-27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805830683.181227005940_sel03_S6.wav,181227000000,S6,111.1087153,130,95.96039295,1,1,46,0,6,85,0,14,1,0.06593406593406594,0,0.3795620437956204,2018-12-27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805830683.181228005940_sel02_S2.wav,181228000000,S2,119.9024793,636,95.96010344,1,1,46,0,6,85,0,14,1,0.06593406593406594,0,0.3795620437956204,2018-12-28,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805830683.190103005940_sel01_S2.wav,190103000000,S2,115.812922,132,92.16065742,1,1,49,8,0,91,0,0,0.8596491228070176,0,NA,0.3310810810810811,2019-01-03,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805830683.190103005940_sel02_S6.wav,190103000000,S6,113.2703184,89,100.3393182,1,1,33,0,20,62,0,37,1,0.24390243902439024,0,0.4608695652173913,2019-01-03,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805830683.190106005940_sel01_S4.wav,190106000000,S4,115.6900985,538,94.96529777,1,1,48,0,3,91,0,8,1,0.031914893617021274,0,0.3591549295774648,2019-01-06,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805830683.190107005940_sel02_S4.wav,190107000000,S4,112.0306336,261,96.48729499,1,1,44,0,8,82,0,17,1,0.08888888888888889,0,0.3880597014925373,2019-01-07,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
