Filename,Date,Selection,RMS,PeakFreq,PeakLev,Verified,used,ins_sm,out_sm,ins_med,out_med,ins_lg,out_lg,pins_sm,pins_med,pins_lg,pins_ovrll,begin_file_date,seln_num,View,Channel,Begin_Time,End_Time,Low_Freq,High_Freq,Begin_Date,Begin_Clock,End_Clock,Delta_Time_s,Behavior,Partial,Notes,Dep,Site_ID,DeltaHours,Hr_time,Hr_local,Begin_Hour_loc,Begin_Date_loc,Weekday
805568538.190108000353_sel02_S17.wav,190108000000,S17,120.9193314,78,113.8227271,1,1,9,0,46,1,0,44,1,0.9787234042553191,0,0.9821428571428571,2019-01-08,17,Spectrogram 1,1,28116.116995205,28155.323752696,0,3594.6,2019-01-08,15:22:28,15:23:07,39.2068,TransitA+Maneuver,n,NA,D2a_201812,WP,0.010890777777777779,2019-01-08T04:22:28Z,2019-01-08T04:22:28Z,15,2019-01-08,Tuesday
805568538.190113000353_sel01_S11.wav,190113000000,S11,121.5493063,53,114.3997601,1,1,8,0,46,0,1,42,1,1,0.023255813953488372,1,2019-01-13,11,Spectrogram 1,1,21603.536285205,23229.271004958,19.1,3231.4,2019-01-13,12:03:55,12:31:01,1625.7347,TransitA+Maneuver,y,NA,D2a_201812,WP,0.4515929722222222,2019-01-13T01:03:55Z,2019-01-13T01:03:55Z,12,2019-01-13,Sunday
805568538.190114000353_sel02_S4.wav,190114000000,S4,121.0314807,69,114.7700647,1,1,8,0,45,0,2,40,1,1,0.047619047619047616,1,2019-01-14,4,Spectrogram 1,1,14960.527951845,15620.699601932,57.4,5564.1,2019-01-14,08:13:13,08:24:13,660.1717,TransitA+Maneuver,n,NA,D2a_201812,WP,0.18338102777777776,2019-01-13T21:13:13Z,2019-01-13T21:13:13Z,8,2019-01-14,Monday
805568538.181226000353_sel01_S2.wav,181226000000,S2,125.0214362,78,118.5719184,1,1,5,0,35,0,15,23,1,1,0.39473684210526316,1,2018-12-26,2,Spectrogram 1,1,14744.867237555,15673.752853042,37.181,5605.3,2018-12-26,08:09:37,08:25:06,928.8856,Transit+Maneuver,n,NA,D2a_201812,WP,0.25802377777777774,2018-12-25T21:09:37Z,2018-12-25T21:09:37Z,8,2018-12-26,Wednesday
805568538.190108000353_sel01_S18.wav,190108000000,S18,123.2994478,171,111.246701,1,1,12,0,43,11,0,47,1,0.7962962962962963,0,0.8333333333333334,2019-01-08,18,Spectrogram 1,1,28410.624150764,28451.820504904,0,5697.9,2019-01-08,15:27:22,15:28:04,41.1964,Transit+Maneuver,n,NA,D2a_201812,WP,0.011443444444444444,2019-01-08T04:27:22Z,2019-01-08T04:27:22Z,15,2019-01-08,Tuesday
805568538.190112000353_sel02_S4.wav,190112000000,S4,122.1700215,181,110.7018126,1,1,13,0,42,14,0,46,1,0.75,0,0.7971014492753623,2019-01-12,4,Spectrogram 1,1,14403.394017813,14806.626778473,38.2,4627.2,2019-01-12,08:03:56,08:10:39,403.2328,Transit+Maneuver,y,NA,D2a_201812,WP,0.11200911111111111,2019-01-11T21:03:56Z,2019-01-11T21:03:56Z,8,2019-01-12,Saturday
805568538.190114000353_sel03_S10.wav,190114000000,S10,127.2812772,257,117.1408827,1,1,6,0,39,0,10,29,1,1,0.2564102564102564,1,2019-01-14,10,Spectrogram 1,1,24038.473310875,25063.022079378,0,9235.2,2019-01-14,13:14:30,13:31:35,1024.5488,Transit+Maneuver,n,NA,D2a_201812,WP,0.2845968888888889,2019-01-14T02:14:30Z,2019-01-14T02:14:30Z,13,2019-01-14,Monday
805568538.190114000353_sel04_S11.wav,190114000000,S11,126.8946763,245,111.6409091,1,1,11,0,44,10,0,46,1,0.8148148148148148,0,0.8461538461538461,2019-01-14,11,Spectrogram 1,1,25203.136516241,25620.647558734,19.1,8910.1,2019-01-14,14:03:55,14:10:53,417.511,Transit+Maneuver,y,NA,D2a_201812,WP,0.11597527777777779,2019-01-14T03:03:55Z,2019-01-14T03:03:55Z,14,2019-01-14,Monday
805568538.181226000353_sel01_S5.wav,181226000000,S5,127.4309079,168,112.7666717,1,1,10,0,45,5,0,45,1,0.9,0,0.9166666666666666,2018-12-26,5,Spectrogram 1,1,25683.909277855,26438.589306919,43.021,10079.2,2018-12-26,14:11:56,14:24:30,754.68,Transit,n,NA,D2a_201812,WP,0.2096333333333333,2018-12-26T03:11:56Z,2018-12-26T03:11:56Z,14,2018-12-26,Wednesday
805568538.190102000353_sel02_S10.wav,190102000000,S10,126.0547147,86,118.2110926,1,1,5,0,36,0,14,24,1,1,0.3684210526315789,1,2019-01-02,10,Spectrogram 1,1,24264.327606605,24868.205375041,57.4,8642.4,2019-01-02,13:18:16,13:28:20,603.8778,Transit,n,NA,D2a_201812,WP,0.16774383333333331,2019-01-02T02:18:16Z,2019-01-02T02:18:16Z,13,2019-01-02,Wednesday
